General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdón Prats,ESP,"FW,MF",29,1992,4.6,1,0,1,0,0,0,0,,0,5,0,5,0,1,2,0
Amath,SEN,"MF,FW",26,1996,13.6,29,19,14,8,7,14,22,63.6,8,13,1,12,5,34,5,0
Antonio Raillo,ESP,DF,30,1991,30.7,34,21,23,11,0,10,15,66.7,5,38,29,9,31,65,158,1
Antonio Sánchez,ESP,"MF,DF",25,1997,12.0,19,8,13,4,2,10,34,29.4,24,18,0,18,22,41,14,1
Braian Cufré,ARG,DF,25,1996,2.4,5,2,2,1,2,2,5,40.0,3,2,1,1,2,7,1,0
Clément Grenier,FRA,MF,31,1991,8.0,20,8,6,12,2,10,20,50.0,10,9,1,8,6,26,7,0
Copete,ESP,DF,22,1999,24.5,53,28,35,16,2,26,36,72.2,10,38,17,21,44,97,111,2
Dani Rodríguez,ESP,MF,34,1988,23.3,42,23,18,22,2,21,46,45.7,25,31,8,23,21,63,14,0
Dennis Hadzikadunic,BIH,DF,24,1998,6.8,9,6,4,5,0,4,4,100.0,0,5,4,1,3,12,27,0
Dominik Greif,SVK,GK,25,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Franco Russo,ARG,DF,27,1994,1.6,2,1,2,0,0,0,1,0.0,1,5,0,5,3,5,5,0
Giovanni González,URU,DF,27,1994,10.3,16,8,11,2,3,9,22,40.9,13,8,2,6,7,23,22,0
Iddrisu Baba,GHA,"MF,DF",26,1996,18.9,31,17,15,16,0,15,32,46.9,17,18,8,10,11,42,39,0
Iñigo Ruiz de Galarreta,ESP,MF,28,1993,27.2,54,38,27,23,4,20,52,38.5,32,26,9,17,30,84,19,0
Jaume Costa,ESP,DF,34,1988,28.9,50,34,26,17,7,29,51,56.9,22,13,5,8,22,72,44,1
Javier Llabrés,ESP,FW,19,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Josep Antoni Gayá,ESP,"DF,MF",22,2000,1.1,0,0,0,0,0,0,0,,0,4,2,2,1,1,6,0
Lago Junior,CIV,"FW,MF",31,1990,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Lee Kang-in,KOR,"MF,FW",21,2001,31.4,42,24,10,22,10,18,61,29.5,43,25,2,23,11,53,7,0
Leo Román,ESP,GK,22,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ludwig Augustinsson,SWE,DF,28,1994,1.5,2,1,2,0,0,1,3,33.3,2,1,0,1,1,3,3,0
Manu Morlanes,ESP,MF,23,1999,7.8,22,9,12,8,2,13,24,54.2,11,10,5,5,5,27,9,0
Martin Valjent,SVK,DF,26,1995,29.5,35,27,22,12,1,19,28,67.9,9,39,21,18,29,64,137,0
Matija Nastasić,SRB,DF,29,1993,10.1,10,8,7,1,2,3,6,50.0,3,11,4,7,18,28,43,1
Pablo Maffeo,ESP,DF,25,1997,33.1,75,46,54,16,5,45,78,57.7,33,38,11,27,26,101,76,0
Predrag Rajković,SRB,GK,26,1995,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,16,1
Rodrigo Battaglia,ARG,MF,31,1991,7.6,12,5,7,5,0,6,14,42.9,8,16,7,9,5,17,18,0
Rubén Quintanilla,ESP,DF,20,2002,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Tino Kadewere,ZIM,"FW,MF",26,1996,6.0,6,3,3,3,0,4,9,44.4,5,6,2,4,2,8,1,0
Vedat Muriqi,KVX,FW,28,1994,32.6,12,7,4,7,1,3,13,23.1,10,19,7,12,12,24,73,0
Ángel Rodríguez,ESP,"FW,MF",35,1987,4.4,1,1,0,1,0,0,2,0.0,2,3,0,3,1,2,1,0
