General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Alex Cordaz,ITA,GK,39,1983,0.3,0,0,0,0,0,0.5,0.26,0.5,1.77,1,7,14.3,15,3,26.7,33.5,5,60.0,52.0,7,0,0.0,0,0.0,
André Onana,CMR,GK,26,1996,24.0,24,2,0,5,2,19.3,0.21,-2.7,-0.11,105,270,38.9,875,115,25.5,29.6,152,30.9,35.4,283,15,5.3,10,0.42,12.5
Samir Handanović,SVN,GK,38,1984,13.7,18,1,0,1,1,15.0,0.27,-2.0,-0.14,45,87,51.7,508,71,15.6,24.7,71,11.3,25.5,149,2,1.3,10,0.73,15.4
