General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aleksandar Stanković,SRB,FW,16,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,
Alessandro Bastoni,ITA,DF,23,1999,29,2157,74,63.1,24.0,26,80,16,3,25,8,1.9,42,25,17,0.71,-0.15,42.5,21.9,20.6,0.86,0.07
Alessandro Fontanarosa,ITA,DF,19,2003,0,,,,,0,,0,0,,7,,,,,,,,,,,
Alex Cordaz,ITA,GK,39,1983,1,26,26,0.8,0.3,0,,0,1,26,34,3.0,0,0,0,0.0,-0.77,0.3,0.8,-0.5,-1.78,-2.63
André Onana,CMR,GK,26,1996,24,2160,90,63.2,24.0,24,90,24,0,,14,1.88,39,24,15,0.62,-0.38,42.5,21.8,20.7,0.86,0.08
Danilo D'Ambrosio,ITA,DF,33,1988,15,733,49,21.4,8.1,8,72,3,7,23,17,1.8,19,12,7,0.86,0.12,15.6,10.5,5.1,0.62,-0.26
Dennis Curatolo,ITA,FW,18,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
Denzel Dumfries,NED,DF,26,1996,34,2218,65,64.9,24.6,25,80,11,9,23,4,1.85,54,26,28,1.14,1.06,49.2,23.4,25.8,1.05,0.61
Ebenezer Akinsanmiro,NGA,MF,17,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Eddie Salcedo,ITA,FW,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Edin Džeko,BIH,FW,36,1986,33,1732,52,50.6,19.2,18,79,9,15,21,5,1.82,44,20,24,1.25,0.98,36.8,17.3,19.5,1.01,0.37
Federico Dimarco,ITA,DF,24,1997,33,2069,63,60.5,23.0,26,72,3,7,29,1,2.0,50,24,26,1.13,0.93,42.2,21.1,21.2,0.92,0.23
Francesco Acerbi,ITA,DF,34,1988,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,23,0.85,0.31,49.5,26.6,22.9,0.85,0.07
Gabriel Brazão,BRA,GK,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Hakan Çalhanoğlu,TUR,MF,28,1994,33,2363,72,69.1,26.3,28,80,12,5,23,2,2.06,56,25,31,1.18,1.35,47.1,22.0,25.1,0.96,0.4
Henrikh Mkhitaryan,ARM,MF,33,1989,31,1986,64,58.1,22.1,24,75,6,7,26,1,1.84,44,18,26,1.18,0.99,41.9,18.0,23.9,1.09,0.61
Joaquín Correa,ARG,FW,27,1994,26,950,37,27.8,10.6,12,61,0,14,16,3,1.77,13,12,1,0.09,-0.93,16.5,11.8,4.7,0.45,-0.53
Kristjan Asllani,ALB,MF,20,2002,20,592,30,17.3,6.6,5,69,1,15,16,18,2.05,9,10,-1,-0.15,-1.11,10.7,7.8,2.9,0.44,-0.47
Lautaro Martínez,ARG,FW,24,1997,38,2576,68,75.3,28.6,27,84,18,11,27,0,1.89,59,37,22,0.77,0.02,53.1,27.0,26.1,0.91,0.33
Lucien Agoume,FRA,MF,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Marcelo Brozović,CRO,MF,29,1992,28,1770,63,51.8,19.7,19,83,11,9,22,0,1.79,35,27,8,0.41,-0.74,35.2,20.9,14.3,0.73,-0.22
Matteo Darmian,ITA,DF,32,1989,31,2025,65,59.2,22.5,24,80,10,7,16,5,1.84,30,22,8,0.36,-1.0,37.5,19.3,18.3,0.81,-0.05
Mattia Zanotti,ITA,DF,19,2003,2,27,14,0.8,0.3,0,,0,2,14,25,3.0,1,0,1,3.33,2.59,0.5,0.1,0.5,1.52,0.7
Milan Škriniar,SVK,DF,27,1995,21,1769,84,51.7,19.7,20,87,17,1,33,2,1.95,37,23,14,0.71,-0.11,32.8,17.6,15.2,0.77,-0.12
Nicolò Barella,ITA,MF,25,1997,35,2613,75,76.4,29.0,31,81,17,4,23,2,1.8,51,31,20,0.69,-0.31,53.1,27.3,25.7,0.89,0.24
Nikolaos Botis,GRE,GK,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Raoul Bellanova,ITA,DF,22,2000,18,496,28,14.5,5.5,3,73,0,15,18,20,2.0,10,8,2,0.36,-0.47,7.1,6.9,0.3,0.05,-0.92
Roberto Gagliardini,ITA,MF,28,1994,19,783,41,22.9,8.7,7,81,5,12,18,16,2.32,16,9,7,0.8,0.05,11.8,10.2,1.5,0.18,-0.85
Robin Gosens,GER,DF,28,1994,32,1184,37,34.6,13.2,11,73,2,21,18,3,1.88,17,15,2,0.15,-0.93,23.0,13.1,9.9,0.75,-0.12
Romelu Lukaku,BEL,FW,29,1993,25,1660,66,48.5,18.4,19,81,10,6,21,1,1.8,27,16,11,0.6,-0.32,33.9,18.3,15.6,0.84,0.03
Samir Handanović,SVN,GK,38,1984,14,1234,88,36.1,13.7,14,88,13,0,,21,1.93,32,18,14,1.02,0.4,25.2,13.8,11.4,0.83,0.0
Stefan de Vrij,NED,DF,30,1992,27,1945,72,56.9,21.6,22,85,18,5,15,11,1.74,41,25,16,0.74,-0.05,37.8,20.5,17.3,0.8,-0.07
Valentin Carboni,ARG,"MF,DF",17,2005,5,25,5,0.7,0.3,0,,0,5,5,23,0.8,1,1,0,0.0,-0.77,1.2,1.2,0.0,-0.05,-0.89
