name,position,id
Sander Berge,MF,d0b6129f
Dara O'Shea,DF,1d042188
James Trafford,GK,259fea27
Zeki Amdouni,FW,2ee5b0c9
Vitinho,"DF,MF",9295dc1c
Charlie Taylor,DF,cc2d7ad5
Wilson Odobert,"MF,FW",35516eac
Josh Brownhill,MF,47369df8
Josh Cullen,MF,f6d7d690
Lyle Foster,"FW,MF",f84a807c
Jacob Bruun Larsen,"MF,FW",4e204552
Maxime Estève,DF,1a066e69
Lorenz Assignon,DF,b026bbf6
Jordan Beyer,DF,9af1f9ff
Luca Koleosho,"MF,FW",fc076f78
Jóhann Berg Guðmundsson,"MF,FW",f72293fc
Ameen Al-Dakhil,DF,93e08bce
Arijanet Muric,GK,99aa1a84
David Datro Fofana,FW,e82900ef
Connor Roberts,DF,24fae784
Jay Rodriguez,FW,4ab53cdb
Hannes Delcroix,DF,b737f944
Aaron Ramsey,"MF,FW",e1618c22
Hjalmar Ekdal,DF,3d554589
Mike Trésor,"FW,MF",b2a81fc6
Anass Zaroury,"FW,MF",07d65234
Benson Manuel,"MF,FW",d7f99582
Nathan Redmond,"FW,MF",ab651565
Jack Cork,MF,74e12f1e
Michael Obafemi,"FW,MF",caa1a7f0
Han-Noah Massengo,"MF,DF",eba1e557
CJ Egan-Riley,DF,d313e8ff
Lawrence Vigouroux,GK,a949d040
