name,position,id
Mark Flekken,GK,a92ab7be
Vitaly Janelt,"MF,DF",8449d35e
Christian Nørgaard,MF,df0a4c90
Nathan Collins,DF,a8c19eb8
Yoane Wissa,FW,2500cef9
Ethan Pinnock,DF,e541326e
Mathias Jensen,MF,0f134faf
Mads Roerslev,DF,57c94db2
Bryan Mbeumo,FW,6afaebf2
Kristoffer Ajer,DF,a8c0acb7
Ivan Toney,FW,e09f279b
Keane Lewis-Potter,"FW,DF",41f08ac8
Ben Mee,DF,8df7a2fb
Sergio Reguilón,DF,3353737a
Neal Maupay,FW,4bcf39f6
Mathias Jørgensen,DF,0db5d2c8
Frank Onyeka,MF,2944f86f
Aaron Hickey,DF,1780bb4a
Mikkel Damsgaard,MF,215f3907
Saman Ghoddos,DF,f7b1d4e0
Yehor Yarmoliuk,MF,907a5d7c
Rico Henry,DF,8a3c1dc7
Kevin Schade,"FW,MF",52afb588
Shandon Baptiste,MF,2886c9b5
Thomas Strakosha,GK,339fe0e8
Michael Olakigbe,"DF,FW",cdd70dc0
Josh Dasilva,"DF,FW",60344e4f
Myles Peart-Harris,"DF,MF",ea1a5662
Val Adedokun,FW,1b5344ef
Vincent Angelini,GK,536e58cc
Benjamin Arthur,DF,093f0923
Ellery Balcombe,GK,e827567f
Ethan Brierley,MF,c2c5ecda
Yunus Emre Konak,MF,e02b5b36
Benjamin Fredrick,DF,fde367e5
Charlie Goode,DF,7aee4dd3
Kim Jisoo,DF,f4065d9e
Hákon Rafn Valdimarsson,GK,57a34cf4
Ryan Trevitt,MF,732327ae
