name,position,id
William Saliba,DF,972aeb2a
Declan Rice,MF,1c7012b8
Martin Ødegaard,MF,79300479
Ben White,DF,35e413f1
Bukayo Saka,FW,bc7dc64d
Gabriel Magalhães,DF,67ac5bb8
David Raya,GK,98ea5115
Kai Havertz,"MF,FW",fed7cb61
Gabriel Martinelli,FW,48a5a5d6
Oleksandr Zinchenko,DF,51cf8561
Leandro Trossard,"FW,MF",38ceb24a
Gabriel Jesus,FW,b66315ae
Jakub Kiwior,DF,dc3e663e
Takehiro Tomiyasu,DF,b3af9be1
Eddie Nketiah,FW,a53649b7
Jorginho,MF,45db685d
Thomas Partey,"MF,DF",529f49ab
Aaron Ramsdale,GK,466fb2c5
Emile Smith Rowe,MF,17695062
Fabio Vieira,"MF,FW",6412cc03
Reiss Nelson,FW,c5bdb6e3
Jurriën Timber,DF,41034650
Cédric Soares,DF,839c14e1
Mohamed Elneny,MF,47a34c4f
Ethan Nwaneri,FW,7f94982c
Mauro Bandeira,MF,9b67eca8
Bradley Ibrahim,MF,aaab4602
Karl Jakob Hein,GK,aa81d8f8
Myles Lewis-Skelly,MF,5dff6c28
Charles Sagoe Jr,FW,187ab096
James Sweet,DF,d4632cfa
Reuell Walters,DF,501ac0cc
