comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_fls,performance_fld,performance_off,performance_crs,performance_tklw,performance_int,performance_og,performance_pkwon,performance_pkcon,date,match_id
Serie A,Matchweek 17,L 1–2,8c71aef1,8e8ff33e,0,45,0,0,0,0,,,0,0,,,,,,,0,,,2019-07-14,aa1dcf8d
Serie A,Matchweek 18,L 1–5,8c71aef1,bbbdfd99,0,38,1,0,0,0,,,0,0,,,,,,,0,,,2019-07-21,44a85b79
Serie A,Matchweek 23,W 4–0,8c71aef1,de6be4e9,0,15,0,0,0,0,,,0,0,,,,,,,0,,,2019-08-24,84ee3609
Serie A,Matchweek 24,D 1–1,8c71aef1,99a46175,0,11,0,0,0,0,,,0,0,,,,,,,0,,,2019-08-30,b98c7b0a
Serie A,Matchweek 25,W 2–1,8c71aef1,66db845c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-14,e146caab
Serie A,Matchweek 26,W 2–1,8c71aef1,c0cc20c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-09-22,39863326
Serie A,Matchweek 27,W 2–0,8c71aef1,9c3c38e4,1,90,0,0,0,0,,,0,0,,,,,,,0,,,2019-09-28,5d061e6e
Serie A,Matchweek 28,L 0–3,8c71aef1,c1f8ae36,0,32,0,0,0,0,,,0,0,,,,,,,0,,,2019-10-20,eb8edf56
Serie A,Matchweek 29,L 0–1,8c71aef1,3af5df16,1,90,0,0,0,0,,,1,0,,,,,,,0,,,2019-10-27,2f515606
Serie A,Matchweek 30,W 2–1,8c71aef1,40339a93,0,2,0,0,0,0,,,0,0,,,,,,,0,,,2019-11-03,75cd3047
Serie A,Quarter-finals,L 0–1,8c71aef1,c0cc20c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-11-23,27449b97
Serie A,Quarter-finals,D 0–0,8c71aef1,c0cc20c3,0,26,0,0,0,0,,,0,0,,,,,,,0,,,2019-11-27,81b71562
Premier League,Matchweek 33,L 0–2,8cec06e1,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-04,df13ee5b
Premier League,Matchweek 34,L 0–1,8cec06e1,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-07-08,f898c8ea
