General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdu Conté,POR,DF,24,1998,14.6,25,17,14,8,3,12,22,54.5,10,13,6,7,6,31,25,0
Adil Rami,FRA,DF,36,1985,17.7,19,14,13,5,1,17,32,53.1,15,23,16,7,25,44,75,3
Alexis Tibidi,FRA,"FW,MF",18,2003,0.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Amar Ahmed,SWE,FW,18,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0
Andreas Bruus,DEN,"DF,FW",23,1999,18.1,12,6,9,3,0,8,20,40.0,12,13,2,11,17,29,24,0
Ante Palaversa,CRO,MF,22,2000,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0
Derek Mazou-Sacko,FRA,MF,17,2004,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Erik Palmer-Brown,USA,DF,25,1997,35.5,42,27,31,10,1,18,33,54.5,15,56,29,27,26,68,166,1
Florian Tardieu,FRA,MF,30,1992,11.2,31,20,19,12,0,12,31,38.7,19,19,4,15,23,54,15,0
Gauthier Gallon,FRA,GK,29,1993,29.6,2,2,2,0,0,2,4,50.0,2,0,0,0,2,4,17,0
Ike Ugbo,CAN,"FW,MF",23,1998,9.9,5,2,2,2,1,3,11,27.3,8,8,2,6,2,7,4,0
Jackson Porozo,ECU,DF,21,2000,18.0,32,20,24,7,1,13,31,41.9,18,24,17,7,33,65,75,0
Jeff Reine-Adélaïde,FRA,MF,24,1998,2.6,3,2,2,1,0,1,2,50.0,1,2,0,2,2,5,1,0
Jordan Dongmo,CMR,MF,21,2001,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Kyliane Dong,FRA,"MF,FW",17,2004,2.4,3,1,0,2,1,1,2,50.0,1,1,0,1,1,4,0,0
Lucien Agoume,FRA,MF,20,2002,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0
Mama Samba Baldé,GNB,FW,26,1995,29.6,46,21,14,21,11,13,28,46.4,15,30,3,27,10,56,13,0
Marlos Moreno,COL,"MF,DF",25,1996,0.1,2,2,2,0,0,2,3,66.7,1,1,1,0,0,2,0,0
Mateusz Lis,POL,GK,25,1997,8.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0
Mathis Hamdi,FRA,DF,18,2003,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0
Papa Ndiaga Yade,MTN,"DF,MF",22,2000,6.3,10,6,6,2,2,7,22,31.8,15,10,2,8,8,18,10,0
Renaud Ripart,FRA,"FW,MF",29,1993,14.7,40,23,14,20,6,19,52,36.5,33,29,2,27,7,47,5,0
Rominigue Kouamé,MLI,MF,25,1996,29.6,44,27,28,14,2,17,41,41.5,24,32,11,21,49,93,46,1
Rony Lopes,POR,"MF,FW",26,1995,26.1,24,12,6,15,3,7,31,22.6,24,14,2,12,9,33,10,0
Rudy Kohon,FRA,DF,18,2004,0.7,4,3,4,0,0,2,2,100.0,0,1,0,1,1,5,2,0
Tanguy Zoukrou,FRA,DF,19,2003,5.7,14,7,8,6,0,10,14,71.4,4,18,11,7,2,16,24,0
Thierno Balde,FRA,"DF,MF",20,2002,23.9,27,14,19,4,4,18,30,60.0,12,15,3,12,23,50,39,0
Tristan Dingomé,CMR,MF,31,1991,1.1,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0
Wilson Odobert,FRA,"MF,FW",17,2004,19.6,20,14,10,7,3,9,25,36.0,16,11,0,11,15,35,5,0
Xavier Chavalerin,FRA,MF,31,1991,27.0,82,50,39,30,13,27,71,38.0,44,31,8,23,41,123,24,0
Yasser Larouci,ALG,"DF,MF",21,2001,20.0,23,13,13,8,2,15,24,62.5,9,15,1,14,26,49,46,0
Yoann Salmier,GUF,DF,29,1992,29.4,51,29,34,12,5,21,35,60.0,14,34,19,15,39,90,124,0
