General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdu Conté,POR,DF,24,1998,14.6,754,613,138,12,2,5,37,126,0,0,0,0,591,3,30
Adil Rami,FRA,DF,36,1985,17.7,731,691,35,31,0,7,5,3,0,0,0,0,615,5,8
Alexis Tibidi,FRA,"FW,MF",18,2003,0.8,23,21,2,0,0,0,0,0,0,0,0,0,19,0,0
Amar Ahmed,SWE,FW,18,2004,0.2,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
Andreas Bruus,DEN,"DF,FW",23,1999,18.1,637,515,121,11,0,1,67,100,10,7,2,0,445,1,24
Ante Palaversa,CRO,MF,22,2000,0.3,17,14,3,2,0,0,2,0,1,1,0,0,14,0,0
Derek Mazou-Sacko,FRA,MF,17,2004,0.2,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Erik Palmer-Brown,USA,DF,25,1997,35.5,1435,1388,43,38,0,11,2,3,0,0,0,0,1212,4,12
Florian Tardieu,FRA,MF,30,1992,11.2,755,678,76,40,0,15,43,4,32,20,7,0,655,1,4
Gauthier Gallon,FRA,GK,29,1993,29.6,951,599,349,108,0,5,0,0,0,0,0,0,633,3,0
Ike Ugbo,CAN,"FW,MF",23,1998,9.9,137,120,16,1,0,0,0,0,0,0,0,0,96,1,4
Jackson Porozo,ECU,DF,21,2000,18.0,629,599,30,24,0,4,3,6,0,0,0,0,512,0,8
Jeff Reine-Adélaïde,FRA,MF,24,1998,2.6,128,120,8,5,0,1,0,0,0,0,0,0,106,0,3
Jordan Dongmo,CMR,MF,21,2001,0.2,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0
Kyliane Dong,FRA,"MF,FW",17,2004,2.4,53,51,2,0,1,1,6,0,2,1,0,0,35,0,5
Lucien Agoume,FRA,MF,20,2002,12.2,744,720,21,15,3,8,9,2,4,3,0,0,619,3,12
Mama Samba Baldé,GNB,FW,26,1995,29.6,584,511,70,0,2,6,13,0,0,0,0,0,389,3,30
Marlos Moreno,COL,"MF,DF",25,1996,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Mateusz Lis,POL,GK,25,1997,8.3,314,202,111,33,0,0,0,0,0,0,0,0,213,1,0
Mathis Hamdi,FRA,DF,18,2003,0.8,38,27,11,0,0,1,2,11,0,0,0,0,26,0,4
Papa Ndiaga Yade,MTN,"DF,MF",22,2000,6.3,347,302,45,1,1,3,30,44,0,0,0,0,250,0,10
Renaud Ripart,FRA,"FW,MF",29,1993,14.7,468,441,26,1,1,1,21,13,0,0,0,0,317,1,14
Rominigue Kouamé,MLI,MF,25,1996,29.6,1403,1391,8,8,2,17,5,0,0,0,0,0,1244,4,17
Rony Lopes,POR,"MF,FW",26,1995,26.1,872,747,118,36,5,12,109,3,65,27,23,0,603,7,32
Rudy Kohon,FRA,DF,18,2004,0.7,28,27,1,0,0,0,0,1,0,0,0,0,24,0,1
Tanguy Zoukrou,FRA,DF,19,2003,5.7,221,214,7,4,0,1,1,3,0,0,0,0,191,0,4
Thierno Balde,FRA,"DF,MF",20,2002,23.9,931,758,173,15,4,2,37,156,2,2,0,0,763,0,19
Tristan Dingomé,CMR,MF,31,1991,1.1,78,68,9,2,0,0,5,2,5,2,1,0,55,1,1
Wilson Odobert,FRA,"MF,FW",17,2004,19.6,538,508,26,2,3,3,34,6,16,9,0,0,408,4,21
Xavier Chavalerin,FRA,MF,31,1991,27.0,1068,1010,51,33,5,8,29,12,6,4,2,0,875,7,31
Yasser Larouci,ALG,"DF,MF",21,2001,20.0,824,655,166,12,5,0,50,148,5,3,0,0,621,3,20
Yoann Salmier,GUF,DF,29,1992,29.4,1456,1398,53,42,1,16,7,7,0,0,0,0,1198,5,13
