General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Abdu Conté,POR,DF,24,1998,14.6,591,754,78.4,10401,3886,256,303,84.5,270,324,83.3,52,83,62.7,2,2.0,1.8,0.0,14,41,14,6,56
Adil Rami,FRA,DF,36,1985,17.7,615,731,84.1,12742,5477,194,211,91.9,306,343,89.2,103,154,66.9,1,0.6,0.2,0.4,3,45,2,1,35
Alexis Tibidi,FRA,"FW,MF",18,2003,0.8,19,23,82.6,271,4,10,12,83.3,6,7,85.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Amar Ahmed,SWE,FW,18,2004,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Andreas Bruus,DEN,"DF,FW",23,1999,18.1,445,637,69.9,7410,2626,219,277,79.1,171,236,72.5,40,88,45.5,2,1.7,1.8,0.3,21,24,18,10,41
Ante Palaversa,CRO,MF,22,2000,0.3,14,17,82.4,281,82,5,5,100.0,5,6,83.3,3,5,60.0,0,0.1,0.0,-0.1,2,1,0,0,0
Derek Mazou-Sacko,FRA,MF,17,2004,0.2,4,5,80.0,87,67,2,2,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Erik Palmer-Brown,USA,DF,25,1997,35.5,1212,1435,84.5,22021,9290,489,533,91.7,601,669,89.8,95,185,51.4,0,0.4,1.3,-0.4,7,64,8,1,75
Florian Tardieu,FRA,MF,30,1992,11.2,655,755,86.8,11723,4194,302,325,92.9,242,267,90.6,84,127,66.1,0,1.0,1.2,-1.0,17,68,8,2,83
Gauthier Gallon,FRA,GK,29,1993,29.6,633,951,66.6,16827,12352,134,135,99.3,301,306,98.4,184,492,37.4,0,0.0,0.0,0.0,1,10,0,0,0
Ike Ugbo,CAN,"FW,MF",23,1998,9.9,96,137,70.1,1188,156,57,76,75.0,30,38,78.9,0,3,0.0,1,0.5,0.3,0.5,3,6,0,0,8
Jackson Porozo,ECU,DF,21,2000,18.0,512,629,81.4,9099,2992,215,250,86.0,249,284,87.7,35,73,47.9,0,0.2,0.5,-0.2,2,21,1,0,26
Jeff Reine-Adélaïde,FRA,MF,24,1998,2.6,106,128,82.8,1746,440,48,56,85.7,44,51,86.3,9,13,69.2,1,0.4,0.1,0.6,2,9,3,0,20
Jordan Dongmo,CMR,MF,21,2001,0.2,9,10,90.0,120,10,5,5,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Kyliane Dong,FRA,"MF,FW",17,2004,2.4,35,53,66.0,601,109,15,19,78.9,14,20,70.0,4,8,50.0,0,0.2,0.3,-0.2,2,1,0,0,4
Lucien Agoume,FRA,MF,20,2002,12.2,619,744,83.2,10977,3466,254,295,86.1,285,322,88.5,60,89,67.4,1,1.1,1.0,-0.1,12,62,15,2,93
Mama Samba Baldé,GNB,FW,26,1995,29.6,389,584,66.6,6054,1298,200,295,67.8,137,180,76.1,29,43,67.4,3,2.1,1.6,0.9,22,33,15,1,56
Marlos Moreno,COL,"MF,DF",25,1996,0.1,3,4,75.0,40,10,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
Mateusz Lis,POL,GK,25,1997,8.3,213,314,67.8,5648,4318,50,51,98.0,92,96,95.8,66,161,41.0,0,0.0,0.0,0.0,0,5,0,0,0
Mathis Hamdi,FRA,DF,18,2003,0.8,26,38,68.4,347,111,14,18,77.8,11,15,73.3,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Papa Ndiaga Yade,MTN,"DF,MF",22,2000,6.3,250,347,72.0,3664,1248,151,175,86.3,72,107,67.3,16,42,38.1,2,1.3,0.8,0.7,10,9,7,5,16
