NED-Eredivisie
2223
Ajax
Antony
BRA
FW
22
2000
2
2
180
2.0
1
2
3
1
0
0
0
0
0.4
0.4
0.6
0.9
14
12
33
0.5
1.0
1.5
0.5
1.5
0.19
0.28
0.47
0.19
0.47
