General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aleksandar Mitrović,SRB,FW,27,1994,22.3,814,27,79,392,349,144,806,47,23,48.9,22,46.8,451,1873,715,24,15,10,65,58,646,97
Andreas Pereira,BRA,MF,26,1996,29.9,1312,14,106,608,613,65,1311,51,17,33.3,26,51.0,722,3951,1662,53,44,9,51,51,853,133
Antonee Robinson,USA,DF,24,1997,34.3,2260,125,778,938,580,29,2260,75,40,53.3,26,34.7,1174,7863,4290,113,87,10,40,20,1263,153
Bernd Leno,GER,GK,30,1992,36.0,1499,1188,1492,7,0,0,1499,0,0,,0,,857,4060,2355,0,0,0,1,0,752,0
Bobby Reid,JAM,"FW,DF",29,1993,27.5,1191,55,228,489,490,77,1191,54,19,35.2,26,48.1,649,2956,1333,46,33,11,53,32,759,186
Carlos Vinícius,BRA,FW,27,1995,12.3,330,11,24,136,174,57,330,16,5,31.3,8,50.0,183,879,301,9,10,6,48,23,249,46
Cédric Soares,POR,DF,30,1991,2.2,213,10,58,89,66,3,213,2,2,100.0,0,0.0,120,496,242,4,2,1,2,2,140,12
Daniel James,WAL,FW,24,1997,6.9,254,9,27,78,156,29,254,14,5,35.7,3,21.4,156,1229,618,24,11,8,10,13,173,48
Harrison Reed,ENG,MF,27,1995,31.8,1585,57,292,842,463,50,1585,28,10,35.7,16,57.1,765,3430,1141,30,22,4,44,25,972,107
Harry Wilson,WAL,FW,25,1997,12.2,551,18,89,214,253,37,551,33,12,36.4,14,42.4,343,1989,780,18,16,8,23,15,397,87
Issa Diop,FRA,DF,25,1997,22.4,1606,191,828,762,28,9,1606,7,5,71.4,1,14.3,1026,6704,4207,13,6,0,10,1,1115,4
Jay Stansfield,ENG,FW,19,2002,1.0,35,2,7,14,15,7,35,0,0,,0,,13,88,35,2,2,0,2,2,23,4
Josh Onomah,ENG,MF,25,1997,0.2,11,0,3,4,4,0,11,1,0,0.0,1,100.0,5,38,24,1,0,0,1,1,5,0
João Palhinha,POR,MF,27,1995,34.5,1713,81,433,1055,247,33,1713,39,14,35.9,15,38.5,763,2775,935,8,10,3,37,28,919,18
Kenny Tete,NED,DF,26,1995,28.5,1896,107,556,877,489,30,1896,37,21,56.8,12,32.4,821,4563,2401,75,55,4,22,24,946,69
Kevin Mbabu,SUI,"DF,FW",27,1995,1.6,114,4,38,40,38,0,114,6,4,66.7,2,33.3,57,273,159,4,2,0,1,2,59,11
Layvin Kurzawa,FRA,DF,29,1992,1.5,64,8,35,18,11,0,64,4,2,50.0,2,50.0,29,100,20,1,0,0,3,1,24,2
Luke Harris,WAL,"MF,FW",17,2005,0.1,14,0,0,8,6,0,14,0,0,,0,,9,46,14,0,0,0,0,1,13,0
Manor Solomon,ISR,FW,23,1999,6.4,292,9,62,91,147,11,292,37,19,51.4,15,40.5,191,1555,723,16,16,2,13,11,186,51
Marek Rodák,SVK,GK,25,1996,2.0,65,58,65,0,0,0,65,0,0,,0,,36,206,94,0,0,0,1,0,21,0
Nathaniel Chalobah,ENG,MF,27,1994,0.1,11,4,5,3,3,1,11,0,0,,0,,6,16,8,0,1,0,1,1,8,0
Neeskens Kebano,COD,FW,30,1992,8.5,321,10,49,92,188,30,321,30,11,36.7,13,43.3,200,1502,841,39,14,11,16,12,216,68
Saša Lukić,SRB,MF,25,1996,4.6,253,9,49,155,52,3,253,5,4,80.0,1,20.0,146,875,413,8,7,1,3,1,171,5
Shane Duffy,IRL,"DF,FW",30,1992,0.2,22,3,13,9,1,1,22,1,1,100.0,0,0.0,9,41,18,0,0,0,1,0,12,0
Tim Ream,USA,DF,34,1987,32.2,2193,312,1124,1021,61,14,2193,17,12,70.6,3,17.6,1364,7720,5069,28,13,0,15,5,1451,2
Tom Cairney,SCO,MF,31,1991,11.0,872,10,127,426,332,31,872,21,9,42.9,8,38.1,573,3124,1516,34,27,6,23,21,667,57
Tosin Adarabioyo,ENG,DF,24,1997,23.2,1545,231,776,735,47,19,1545,11,9,81.8,2,18.2,834,4470,2733,16,12,1,4,4,975,3
Tyrese Francois,AUS,FW,22,2000,0.0,5,0,1,3,1,0,5,0,0,,0,,1,0,0,0,0,0,1,0,2,1
Willian,BRA,FW,33,1988,23.6,1121,10,118,419,602,78,1121,71,37,52.1,22,31.0,749,5394,2727,97,69,29,44,25,831,152
