General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aleksandar Mitrović,SRB,FW,27,1994,22.3,299,496,60.3,4671,970,172,257,66.9,85,132,64.4,31,52,59.6,1,2.3,1.3,-1.3,16,26,10,1,44
Andreas Pereira,BRA,MF,26,1996,29.9,701,1068,65.6,13078,4235,336,419,80.2,229,315,72.7,116,251,46.2,6,5.2,4.1,0.8,60,86,22,9,121
Antonee Robinson,USA,DF,24,1997,34.3,1404,1910,73.5,24327,9684,625,725,86.2,612,792,77.3,137,294,46.6,1,1.3,1.8,-0.3,21,104,42,25,129
Bernd Leno,GER,GK,30,1992,36.0,1110,1397,79.5,26975,16383,234,235,99.6,651,655,99.4,223,503,44.3,0,0.0,0.0,0.0,1,11,0,0,0
Bobby Reid,JAM,"FW,DF",29,1993,27.5,636,907,70.1,9625,3067,341,416,82.0,226,319,70.8,34,81,42.0,1,1.7,1.6,-0.7,19,36,38,10,63
Carlos Vinícius,BRA,FW,27,1995,12.3,119,189,63.0,1470,387,71,102,69.6,32,47,68.1,4,9,44.4,2,0.8,0.8,1.2,7,12,5,1,15
Cédric Soares,POR,DF,30,1991,2.2,143,186,76.9,2394,686,72,78,92.3,57,68,83.8,13,31,41.9,0,0.3,0.2,-0.3,2,13,4,3,12
Daniel James,WAL,FW,24,1997,6.9,120,186,64.5,1575,315,80,97,82.5,27,44,61.4,4,13,30.8,1,0.7,0.5,0.3,7,2,8,3,15
Harrison Reed,ENG,MF,27,1995,31.8,988,1281,77.1,15467,3661,517,612,84.5,355,421,84.3,76,133,57.1,4,4.1,2.0,-0.1,35,82,29,11,102
Harry Wilson,WAL,FW,25,1997,12.2,310,404,76.7,4943,1086,163,192,84.9,105,127,82.7,25,46,54.3,3,0.9,1.0,2.1,12,20,13,1,37
Issa Diop,FRA,DF,25,1997,22.4,1216,1399,86.9,23784,7827,386,427,90.4,710,761,93.3,112,189,59.3,0,0.4,0.5,-0.4,2,69,4,0,70
Jay Stansfield,ENG,FW,19,2002,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
Josh Onomah,ENG,MF,25,1997,0.2,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
João Palhinha,POR,MF,27,1995,34.5,1051,1274,82.5,18222,4336,527,600,87.8,396,462,85.7,107,157,68.2,0,0.4,0.4,-0.4,7,118,3,0,101
Kenny Tete,NED,DF,26,1995,28.5,1110,1530,72.5,17550,7197,598,691,86.5,403,563,71.6,81,165,49.1,5,1.9,1.9,3.1,23,75,25,18,103
Kevin Mbabu,SUI,"DF,FW",27,1995,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,0.6,2,4,5,3,8
Layvin Kurzawa,FRA,DF,29,1992,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2
Luke Harris,WAL,"MF,FW",17,2005,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Manor Solomon,ISR,FW,23,1999,6.4,175,207,84.5,2474,575,104,117,88.9,57,62,91.9,7,11,63.6,0,0.4,0.7,-0.4,6,5,8,1,24
Marek Rodák,SVK,GK,25,1996,2.0,29,61,47.5,1170,1037,3,3,100.0,8,9,88.9,17,48,35.4,0,0.0,0.0,0.0,0,0,0,0,0
Nathaniel Chalobah,ENG,MF,27,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Neeskens Kebano,COD,FW,30,1992,8.5,155,212,73.1,2079,517,93,106,87.7,43,58,74.1,6,13,46.2,3,1.5,0.9,1.5,13,2,9,3,24
Saša Lukić,SRB,MF,25,1996,4.6,192,218,88.1,3180,681,86,97,88.7,91,99,91.9,12,16,75.0,0,0.0,0.1,0.0,0,20,2,1,13
Shane Duffy,IRL,"DF,FW",30,1992,0.2,16,20,80.0,308,61,5,5,100.0,9,10,90.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Tim Ream,USA,DF,34,1987,32.2,1662,1922,86.5,35620,12543,420,472,89.0,961,1035,92.9,267,379,70.4,0,0.1,0.3,-0.1,3,148,0,0,142
Tom Cairney,SCO,MF,31,1991,11.0,632,750,84.3,10133,2428,326,352,92.6,230,264,87.1,51,84,60.7,0,1.4,1.5,-1.4,12,70,19,5,92
Tosin Adarabioyo,ENG,DF,24,1997,23.2,1066,1300,82.0,22623,8478,265,307,86.3,653,735,88.8,136,223,61.0,0,0.4,0.5,-0.4,6,96,7,0,95
Tyrese Francois,AUS,FW,22,2000,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Willian,BRA,FW,33,1988,23.6,712,912,78.1,12115,2563,369,429,86.0,236,286,82.5,86,143,60.1,5,4.4,3.1,0.6,51,41,30,1,113
