General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adri Embarba,ESP,"FW,MF",30,1992,16.4,557,474,80,15,0,7,127,7,58,29,17,1,356,3,24
Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,1117,912,197,13,0,5,70,184,0,0,0,0,814,8,32
Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,274,237,35,3,4,0,18,23,9,0,3,0,193,2,9
Curro,ESP,MF,26,1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1
César de la Hoz,ESP,MF,30,1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7
Diego Mariño,ESP,GK,32,1990,0.5,8,2,6,1,0,0,0,0,0,0,0,0,7,0,0
Dyego Sousa,POR,FW,32,1989,5.9,160,150,9,0,1,0,1,1,0,0,0,0,107,1,7
El Bilal Touré,MLI,FW,20,2001,14.0,258,231,25,0,0,0,4,0,0,0,0,0,183,2,8
Fernando,ESP,GK,32,1990,36.5,1313,836,472,131,0,2,0,0,0,0,0,0,919,5,1
Fernando Pacheco,ESP,GK,30,1992,1.0,31,22,8,4,0,0,0,0,0,0,0,0,20,1,0
Francisco Portillo,ESP,"MF,FW",32,1990,8.0,459,436,20,5,6,1,12,8,7,1,3,0,365,3,13
Gonzalo Melero,ESP,MF,28,1994,20.6,755,736,17,9,1,4,2,3,0,0,0,0,652,2,15
Houboulang Mendes,GNB,DF,24,1998,9.8,335,238,96,4,0,0,31,92,0,0,0,0,239,1,9
José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Juan Brandáriz,ESP,DF,23,1999,16.5,806,697,107,28,0,3,8,75,0,0,0,0,664,2,14
Kaiky,BRA,DF,18,2004,6.5,224,208,16,15,0,9,1,1,0,0,0,0,182,0,2
Largie Ramazani,BEL,"FW,MF",21,2001,15.6,291,266,20,1,3,1,20,7,1,1,0,0,195,5,18
Lucas Robertone,ARG,MF,25,1997,31.6,1364,1211,147,68,10,15,137,12,64,25,34,0,1051,6,18
Luis Javier Suárez,COL,FW,24,1997,16.6,386,343,42,1,2,5,11,4,1,0,1,0,266,1,7
Lázaro,BRA,"FW,MF",20,2002,8.0,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5
Léo Baptistão,BRA,"FW,MF",29,1992,19.2,540,526,11,2,6,7,18,8,0,0,0,0,359,3,25
Marko Milovanović,SRB,FW,18,2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1
Rodrigo Ely,BRA,DF,28,1993,35.1,1475,1393,78,75,2,16,3,2,0,0,0,0,1197,4,6
Samu Costa,POR,MF,21,2000,22.1,1097,1048,41,37,4,12,8,4,0,0,0,0,864,8,28
Sergio Akieme,ESP,DF,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20
Srđan Babić,SRB,DF,26,1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9
Umar Sadiq,NGA,FW,25,1997,2.7,36,32,3,0,0,0,0,1,0,0,0,0,22,1,2
Álex Centelles,ESP,DF,24,1997,12.5,577,446,130,24,0,4,46,106,0,0,0,0,412,1,20
Íñigo Eguaras,ESP,MF,30,1992,10.7,543,524,15,11,5,5,3,1,2,0,0,0,458,4,7
