General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adri Embarba,ESP,"FW,MF",30,1992,16.4,356,557,63.9,6340,1897,162,200,81.0,122,178,68.5,48,110,43.6,3,3.4,2.6,-0.4,32,22,12,6,47
Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,814,1117,72.9,13478,5554,421,470,89.6,303,392,77.3,72,174,41.4,3,3.6,2.6,-0.6,24,40,21,16,64
Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,193,274,70.4,2779,909,117,138,84.8,64,94,68.1,9,23,39.1,0,0.5,0.8,-0.5,8,9,7,3,16
Curro,ESP,MF,26,1996,0.5,21,28,75.0,310,133,10,12,83.3,4,6,66.7,3,4,75.0,0,0.2,0.2,-0.2,2,1,1,0,1
César de la Hoz,ESP,MF,30,1992,18.6,435,556,78.2,8183,2869,185,212,87.3,189,226,83.6,56,93,60.2,0,0.9,0.9,-0.9,5,54,5,2,49
Diego Mariño,ESP,GK,32,1990,0.5,7,8,87.5,261,204,0,0,,4,4,100.0,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0,0
Dyego Sousa,POR,FW,32,1989,5.9,107,160,66.9,1396,361,60,83,72.3,38,52,73.1,2,6,33.3,1,1.0,0.9,0.0,10,4,5,0,16
El Bilal Touré,MLI,FW,20,2001,14.0,183,258,70.9,2226,311,130,158,82.3,44,65,67.7,2,2,100.0,2,1.3,0.7,0.7,14,7,3,1,14
Fernando,ESP,GK,32,1990,36.5,919,1313,70.0,27494,20366,132,133,99.2,440,448,98.2,342,721,47.4,0,0.0,0.0,0.0,0,16,0,0,0
Fernando Pacheco,ESP,GK,30,1992,1.0,20,31,64.5,617,423,2,2,100.0,10,11,90.9,8,17,47.1,0,0.0,0.0,0.0,0,1,0,0,0
Francisco Portillo,ESP,"MF,FW",32,1990,8.0,365,459,79.5,5407,1875,211,240,87.9,115,136,84.6,22,41,53.7,1,1.0,1.9,0.0,13,49,18,3,74
Gonzalo Melero,ESP,MF,28,1994,20.6,652,755,86.4,10427,2627,329,365,90.1,243,276,88.0,52,63,82.5,3,1.8,1.3,1.2,19,72,13,0,97
Houboulang Mendes,GNB,DF,24,1998,9.8,239,335,71.3,3634,1451,137,152,90.1,78,117,66.7,17,47,36.2,1,0.3,0.2,0.7,4,14,6,3,18
José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,3,4,75.0,49,2,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Juan Brandáriz,ESP,DF,23,1999,16.5,664,806,82.4,11229,4521,313,339,92.3,291,335,86.9,47,96,49.0,0,0.1,0.2,-0.1,2,35,3,2,32
Kaiky,BRA,DF,18,2004,6.5,182,224,81.3,3877,1389,60,65,92.3,84,97,86.6,34,54,63.0,0,0.0,0.0,0.0,0,12,1,0,11
Largie Ramazani,BEL,"FW,MF",21,2001,15.6,195,291,67.0,3103,857,107,140,76.4,66,90,73.3,16,29,55.2,1,1.7,1.8,-0.7,13,22,11,1,30
Lucas Robertone,ARG,MF,25,1997,31.6,1051,1364,77.1,18461,6242,507,573,88.5,369,437,84.4,135,269,50.2,7,6.6,4.5,0.4,53,115,34,13,155
Luis Javier Suárez,COL,FW,24,1997,16.6,266,386,68.9,3990,687,153,196,78.1,75,110,68.2,24,46,52.2,4,2.1,1.5,1.9,13,21,2,1,26
Lázaro,BRA,"FW,MF",20,2002,8.0,170,218,78.0,2490,660,103,123,83.7,43,54,79.6,14,20,70.0,0,0.8,0.4,-0.8,12,20,5,1,26
Léo Baptistão,BRA,"FW,MF",29,1992,19.2,359,540,66.5,5742,1514,179,229,78.2,124,178,69.7,30,66,45.5,1,1.2,0.9,-0.2,18,30,13,3,51
Marko Milovanović,SRB,FW,18,2003,0.2,4,9,44.4,53,7,1,2,50.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Rodrigo Ely,BRA,DF,28,1993,35.1,1197,1475,81.2,26201,10151,292,339,86.1,705,777,90.7,192,336,57.1,1,0.8,0.6,0.2,6,54,3,0,52
Samu Costa,POR,MF,21,2000,22.1,864,1097,78.8,15886,5134,383,439,87.2,368,428,86.0,102,169,60.4,2,1.0,1.0,1.0,13,68,11,0,91
Sergio Akieme,ESP,DF,24,1997,25.5,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2.0,2.2,-2.0,21,43,22,17,58
Srđan Babić,SRB,DF,26,1996,33.3,1172,1373,85.4,23290,8365,382,420,91.0,637,700,91.0,142,223,63.7,0,0.3,0.4,-0.3,7,55,3,1,63
Umar Sadiq,NGA,FW,25,1997,2.7,22,36,61.1,254,34,11,15,73.3,8,11,72.7,0,0,,0,0.2,0.1,-0.2,3,0,1,0,2
Álex Centelles,ESP,DF,24,1997,12.5,412,577,71.4,7029,2965,190,223,85.2,170,216,78.7,37,97,38.1,2,1.3,1.1,0.7,13,32,9,6,35
Íñigo Eguaras,ESP,MF,30,1992,10.7,458,543,84.3,7955,2756,223,247,90.3,172,193,89.1,51,73,69.9,1,0.6,1.2,0.4,11,50,9,2,61
