General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Diego Mariño,ESP,GK,32,1990,1,0,45,0.5,2,4.0,5,3,60.0,0,0,0,0,,0,0,0,0,
Fernando,ESP,GK,32,1990,37,37,3285,36.5,61,1.67,193,132,70.5,11,8,18,4,10.8,6,4,1,1,20.0
Fernando Pacheco,ESP,GK,30,1992,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
