ESP-La Liga
2223
Betis
Abner
BRA
DF
22
2000
13
7
607
6.7
0
0
0
0
0
0
2
0
1.7
1.7
0.1
1.8
8
16
25
0.0
0.0
0.0
0.0
0.0
0.25
0.02
0.27
0.25
0.27
