General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Francesco Rossi,ITA,GK,31,1991,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,1,0.0,3,0,0.0,17.3,1,100.0,65.0,1,0,0.0,0,0.0,
Juan Musso,ARG,GK,28,1994,23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.5,547,152,32.5,32.1,157,62.4,48.6,253,14,5.5,24,1.04,15.6
Marco Sportiello,ITA,GK,30,1992,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.1,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0
