General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Ademola Lookman,NGA,"FW,MF",24,1997,19.2,867,2,58,350,470,111,864,80,34,42.5,37,46.3,572,3472,1744,73,28,33,47,46,675,185
Berat Djimsiti,ALB,DF,29,1993,20.0,1294,140,647,587,64,15,1294,7,4,57.1,2,28.6,700,3099,1396,7,7,1,10,5,817,9
Brandon Soppy,FRA,DF,20,2002,7.1,413,8,90,185,143,22,413,26,6,23.1,13,50.0,220,1230,679,23,12,6,16,8,241,35
Caleb Okoli,ITA,DF,21,2001,10.7,598,62,328,229,48,12,598,1,0,0.0,1,100.0,265,1059,463,4,5,0,12,5,286,12
Davide Zappacosta,ITA,DF,30,1992,16.3,1122,31,261,415,456,56,1122,57,17,29.8,33,57.9,607,3660,1893,48,39,18,26,14,692,101
Duván Zapata,COL,FW,31,1991,15.4,597,17,32,252,319,93,597,45,20,44.4,16,35.6,399,2196,752,35,20,21,53,45,492,140
Francesco Rossi,ITA,GK,31,1991,0.0,5,3,5,0,0,0,5,0,0,,0,,3,3,1,0,0,0,0,0,3,0
Giorgio Scalvini,ITA,DF,18,2003,25.9,1762,124,687,861,226,32,1762,26,12,46.2,11,42.3,917,3552,1989,22,22,6,20,8,1146,34
Hans Hateboer,NED,DF,28,1994,15.5,823,37,220,343,263,29,823,9,4,44.4,3,33.3,398,1804,904,16,14,1,8,7,505,73
Jeremie Boga,CIV,"MF,FW",25,1997,8.7,600,1,43,228,344,37,600,95,48,50.5,33,34.7,418,3673,1904,64,47,20,31,11,489,78
Joakim Mæhle,DEN,"DF,MF",25,1997,24.5,1707,43,347,697,683,58,1707,53,18,34.0,32,60.4,932,4932,2801,81,64,11,39,24,1110,186
José Luis Palomino,ARG,DF,32,1990,8.4,607,48,261,313,39,9,607,3,2,66.7,1,33.3,308,1514,638,3,1,1,3,3,339,3
Juan Musso,ARG,GK,28,1994,23.1,745,654,742,3,0,0,745,0,0,,0,,436,2893,1620,0,1,1,2,0,316,0
Luis Muriel,COL,"FW,MF",31,1991,11.9,712,3,37,251,428,70,711,70,34,48.6,33,47.1,416,2792,1367,53,38,22,49,27,545,124
Lukáš Vorlický,CZE,"MF,FW",20,2002,0.3,36,0,5,14,19,2,36,7,4,57.1,3,42.9,30,256,120,2,4,2,1,1,26,3
Marco Sportiello,ITA,GK,30,1992,14.9,486,429,481,5,0,0,486,0,0,,0,,277,1367,863,0,0,0,0,1,202,0
Mario Pašalić,CRO,"MF,FW",27,1995,19.7,899,21,135,491,279,57,899,25,8,32.0,15,60.0,545,2839,1137,24,22,3,35,26,659,83
Marten de Roon,NED,MF,31,1991,32.9,2209,119,634,1232,354,21,2209,10,4,40.0,5,50.0,1127,4700,2195,18,30,2,16,15,1389,23
Matteo Ruggeri,ITA,"DF,MF",20,2002,9.2,722,24,198,304,224,17,722,9,4,44.4,5,55.6,342,1508,777,22,14,3,7,5,444,65
Merih Demiral,TUR,DF,24,1998,17.1,832,140,495,319,28,14,832,9,2,22.2,5,55.6,348,1662,564,3,5,1,6,2,374,4
Nadir Zortea,ITA,"DF,MF",23,1999,2.5,153,7,45,50,60,7,153,21,10,47.6,10,47.6,78,480,267,11,7,2,6,2,82,13
Rafael Tolói,ITA,DF,31,1990,30.9,2031,161,834,922,297,43,2031,15,6,40.0,9,60.0,1095,4596,2514,21,42,0,21,5,1291,29
Rasmus Højlund,DEN,FW,19,2003,20.4,700,6,17,251,438,133,700,75,28,37.3,31,41.3,455,2524,855,40,26,31,94,56,570,224
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,6.1,425,2,61,220,152,8,425,21,9,42.9,10,47.6,279,1481,643,19,17,3,21,9,303,36
Teun Koopmeiners,NED,MF,24,1998,31.8,2056,85,476,916,691,63,2052,54,28,51.9,23,42.6,1136,5759,3052,60,64,11,48,32,1396,106
Tommaso De Nipoti,ITA,MF,19,2003,0.0,6,0,0,5,2,1,6,1,1,100.0,0,0.0,3,24,23,1,1,0,0,0,3,0
Éderson,BRA,MF,23,1999,24.6,1455,50,339,778,355,46,1455,66,37,56.1,24,36.4,842,4133,2027,37,35,11,48,30,964,62
