General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Benjamin Leroy,FRA,GK,33,1989,31.1,60,8,1,10,1,47.7,0.3,-11.3,-0.36,213,522,40.8,657,77,52.4,38.5,212,84.0,52.1,389,18,4.6,54,1.74,16.9
François-Joseph Sollacaro,FRA,GK,28,1994,6.0,14,1,0,1,1,9.1,0.34,-3.9,-0.65,19,87,21.8,102,11,56.9,40.7,40,72.5,48.2,93,6,6.5,6,1.0,11.5
Ghjuvanni Quilichini,FRA,GK,19,2002,0.9,0,0,0,0,0,0.8,0.24,0.8,0.93,6,24,25.0,26,2,61.5,43.8,8,100.0,61.0,25,2,8.0,0,0.0,7.5
