General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aleix García,ESP,MF,25,1997,30,2337,78,68.3,26.0,26,83,18,4,46,0,1.13,39,37,2,0.08,-0.01,35.9,32.4,3.5,0.13,0.78
Alexander Callens,PER,DF,30,1992,6,120,20,3.5,1.3,0,,0,6,20,7,1.83,1,0,1,0.75,0.7,1.2,2.1,-0.9,-0.66,-0.57
Arnau Martinez,ESP,DF,19,2003,33,2732,83,79.9,30.4,32,85,25,1,9,3,1.18,46,49,-3,-0.1,-0.88,40.6,45.8,-5.2,-0.17,-0.3
Bernardo Espinosa,COL,DF,33,1989,20,1225,61,35.8,13.6,14,82,10,6,13,16,1.05,14,26,-12,-0.88,-1.5,18.9,22.4,-3.5,-0.26,-0.22
Biel Farres,ESP,DF,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
Borja García,ESP,"MF,FW",31,1990,11,679,62,19.9,7.5,10,66,2,1,16,6,1.55,16,12,4,0.53,0.56,10.2,11.2,-1.1,-0.14,-0.04
Cristhian Stuani,URU,FW,35,1986,32,1090,34,31.9,12.1,8,79,3,24,19,1,1.31,22,16,6,0.5,0.61,19.9,17.2,2.6,0.22,0.48
David López,ESP,DF,32,1989,20,1652,83,48.3,18.4,19,85,14,1,45,7,1.15,26,24,2,0.11,0.06,22.6,25.7,-3.1,-0.17,-0.11
Dawda Camara,MTN,FW,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Eric Monjonell,ESP,DF,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Iván Martín,ESP,MF,23,1999,24,1586,66,46.4,17.6,18,79,5,6,27,7,1.63,27,25,2,0.11,0.06,23.1,26.3,-3.2,-0.18,-0.13
