General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aleix García,ESP,MF,25,1997,26.0,1370,1657,82.7,24515,7738,661,710,93.1,471,536,87.9,182,303,60.1,5,6.2,6.0,-1.2,64,154,23,10,156
Alexander Callens,PER,DF,30,1992,1.3,78,93,83.9,1206,505,35,40,87.5,38,47,80.9,1,2,50.0,0,0.0,0.0,0.0,0,5,1,0,6
Arnau Martinez,ESP,DF,19,2003,30.4,1303,1599,81.5,19900,7034,745,818,91.1,448,533,84.1,82,161,50.9,4,4.3,3.2,-0.3,40,80,28,18,113
Bernardo Espinosa,COL,DF,33,1989,13.6,812,913,88.9,15137,5671,274,299,91.6,482,512,94.1,52,92,56.5,1,0.0,0.2,1.0,1,30,0,0,36
Borja García,ESP,"MF,FW",31,1990,7.5,217,281,77.2,3113,857,126,140,90.0,72,91,79.1,10,28,35.7,0,0.6,0.3,-0.6,5,25,7,0,39
Cristhian Stuani,URU,FW,35,1986,12.1,122,168,72.6,1464,132,79,95,83.2,25,44,56.8,5,7,71.4,0,1.3,1.2,-1.3,7,6,3,0,10
David López,ESP,DF,32,1989,18.4,1082,1203,89.9,20522,7606,373,400,93.3,607,637,95.3,93,146,63.7,1,0.6,0.5,0.4,8,57,1,0,54
Iván Martín,ESP,MF,23,1999,17.6,565,672,84.1,8006,1764,331,366,90.4,180,212,84.9,29,40,72.5,3,2.2,2.1,0.8,17,38,17,6,56
Javi Hernández,ESP,DF,24,1998,12.4,613,748,82.0,9758,3979,330,378,87.3,227,259,87.6,38,60,63.3,2,0.9,0.6,1.1,8,56,9,4,78
Joel Roca,ESP,"MF,FW",17,2005,0.9,30,39,76.9,407,58,23,30,76.7,5,6,83.3,2,3,66.7,0,0.0,0.0,0.0,1,0,0,0,0
Juan Carlos,ESP,GK,34,1988,10.0,288,340,84.7,7160,4635,52,53,98.1,170,176,96.6,66,111,59.5,0,0.0,0.0,0.0,0,1,0,0,0
Juanpe,ESP,DF,31,1991,15.8,753,881,85.5,14726,5562,234,250,93.6,428,466,91.8,85,139,61.2,0,0.3,0.4,-0.3,3,32,1,0,38
Manu Vallejo,ESP,"FW,MF",25,1997,2.3,68,89,76.4,1029,232,41,50,82.0,22,29,75.9,4,5,80.0,1,0.3,0.3,0.7,3,8,3,1,10
Miguel Gutiérrez,ESP,DF,21,2001,26.6,1130,1386,81.5,17750,5265,631,689,91.6,405,494,82.0,70,129,54.3,3,3.3,3.1,-0.3,22,92,29,16,125
Oriol Romeu,ESP,MF,30,1991,32.8,1405,1626,86.4,24124,6512,641,695,92.2,593,655,90.5,123,187,65.8,0,0.9,1.3,-0.9,20,124,16,3,133
Oscar Ureña,DOM,MF,19,2003,1.1,15,22,68.2,192,19,7,10,70.0,6,6,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Paulo Gazzaniga,ARG,GK,30,1992,28.0,783,1070,73.2,21240,15708,201,201,100.0,349,359,97.2,231,501,46.1,0,0.2,0.0,-0.2,1,21,0,0,0
Ramón Terrats,ESP,MF,21,2000,2.4,77,96,80.2,1216,290,44,48,91.7,23,31,74.2,8,10,80.0,0,0.0,0.0,0.0,1,5,1,0,6
Reinier,BRA,"MF,FW",20,2002,7.2,198,248,79.8,2642,664,128,148,86.5,62,75,82.7,3,9,33.3,1,0.6,0.7,0.4,7,11,8,0,25
Ricard Artero,ESP,"MF,FW",19,2003,1.5,37,47,78.7,431,85,28,32,87.5,5,6,83.3,1,2,50.0,0,0.0,0.1,0.0,0,2,0,0,3
Rodrigo Riquelme,ESP,"MF,FW",22,2000,24.2,497,715,69.5,7275,2261,286,350,81.7,162,230,70.4,26,69,37.7,4,3.7,3.8,0.3,33,42,28,7,85
Samuel Sáiz,ESP,MF,31,1991,2.7,122,162,75.3,1903,476,71,82,86.6,36,46,78.3,10,15,66.7,0,0.2,0.3,-0.2,3,13,7,2,17
Santiago Bueno,URU,DF,23,1998,33.4,1576,1823,86.5,31141,10648,509,557,91.4,875,940,93.1,173,279,62.0,1,1.0,0.7,0.0,9,148,5,1,148
Toni Villa,ESP,"MF,FW",27,1995,9.9,257,335,76.7,3626,1168,153,172,89.0,80,105,76.2,11,23,47.8,3,1.6,1.3,1.4,14,21,8,5,38
Valentín Castellanos,ARG,FW,23,1998,28.9,244,397,61.5,3345,704,144,200,72.0,74,125,59.2,12,17,70.6,0,1.7,2.3,-1.7,15,17,16,1,34
Valery Fernández,ESP,"MF,DF",22,1999,10.7,295,356,82.9,4143,830,187,206,90.8,75,95,78.9,20,24,83.3,2,1.2,0.7,0.8,18,12,8,2,20
Viktor Tsyhankov,UKR,MF,24,1997,16.5,433,622,69.6,6648,1872,257,319,80.6,108,161,67.1,49,79,62.0,6,2.9,3.0,3.1,36,21,16,2,46
Yan Couto,BRA,"DF,MF",20,2002,12.9,444,598,74.2,7221,2170,229,262,87.4,158,212,74.5,39,73,53.4,2,2.5,2.1,-0.5,19,33,20,11,55
Yangel Herrera,VEN,"MF,FW",24,1998,10.7,332,418,79.4,4970,1262,186,206,90.3,109,134,81.3,24,44,54.5,2,1.0,1.0,1.0,11,31,10,2,46
