General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aleix García,ESP,MF,25,1997,26.0,1657,1441,203,101,3,43,179,13,88,35,42,1,1370,13,22
Alexander Callens,PER,DF,30,1992,1.3,93,81,12,2,0,0,0,10,0,0,0,0,78,0,0
Arnau Martinez,ESP,DF,19,2003,30.4,1599,1270,319,48,3,7,60,271,0,0,0,0,1303,10,33
Bernardo Espinosa,COL,DF,33,1989,13.6,913,881,30,26,0,5,0,2,0,0,0,0,812,2,2
Borja García,ESP,"MF,FW",31,1990,7.5,281,270,10,3,3,0,17,0,6,6,0,0,217,1,7
Cristhian Stuani,URU,FW,35,1986,12.1,168,148,19,0,0,0,3,0,0,0,0,0,122,1,4
David López,ESP,DF,32,1989,18.4,1203,1138,62,48,0,5,0,3,0,0,0,0,1082,3,5
Iván Martín,ESP,MF,23,1999,17.6,672,648,23,8,0,2,18,7,0,0,0,0,565,1,18
Javi Hernández,ESP,DF,24,1998,12.4,748,640,102,25,0,5,16,77,0,0,0,0,613,6,17
Joel Roca,ESP,"MF,FW",17,2005,0.9,39,33,6,1,0,0,0,5,0,0,0,0,30,0,0
Juan Carlos,ESP,GK,34,1988,10.0,340,265,75,13,0,0,0,0,0,0,0,0,288,0,0
Juanpe,ESP,DF,31,1991,15.8,881,822,55,41,0,9,3,2,0,0,0,0,753,4,7
Manu Vallejo,ESP,"FW,MF",25,1997,2.3,89,87,1,0,1,0,7,0,0,0,0,0,68,1,2
Miguel Gutiérrez,ESP,DF,21,2001,26.6,1386,1142,240,25,2,1,104,213,2,0,0,0,1130,4,27
Oriol Romeu,ESP,MF,30,1991,32.8,1626,1576,43,41,3,12,13,2,0,0,0,0,1405,7,19
Oscar Ureña,DOM,MF,19,2003,1.1,22,22,0,0,0,0,4,0,0,0,0,0,15,0,2
Paulo Gazzaniga,ARG,GK,30,1992,28.0,1070,738,326,83,0,3,0,0,0,0,0,0,783,6,0
Ramón Terrats,ESP,MF,21,2000,2.4,96,93,3,0,0,0,2,3,0,0,0,0,77,0,3
Reinier,BRA,"MF,FW",20,2002,7.2,248,241,6,2,1,1,2,1,0,0,0,0,198,1,8
Ricard Artero,ESP,"MF,FW",19,2003,1.5,47,47,0,0,0,0,0,0,0,0,0,0,37,0,3
Rodrigo Riquelme,ESP,"MF,FW",22,2000,24.2,715,677,34,13,4,3,78,7,11,6,1,0,497,4,29
Samuel Sáiz,ESP,MF,31,1991,2.7,162,150,7,0,2,1,6,1,1,0,1,0,122,5,6
Santiago Bueno,URU,DF,23,1998,33.4,1823,1732,87,70,1,25,4,17,0,0,0,0,1576,4,15
Toni Villa,ESP,"MF,FW",27,1995,9.9,335,323,9,0,0,0,27,7,1,0,1,0,257,3,13
Valentín Castellanos,ARG,FW,23,1998,28.9,397,352,41,0,4,1,10,1,0,0,0,0,244,4,19
Valery Fernández,ESP,"MF,DF",22,1999,10.7,356,323,33,3,0,0,23,27,2,0,0,0,295,0,11
Viktor Tsyhankov,UKR,MF,24,1997,16.5,622,561,58,17,1,3,55,6,33,18,8,0,433,3,25
Yan Couto,BRA,"DF,MF",20,2002,12.9,598,525,72,5,0,5,63,66,1,1,0,0,444,1,17
Yangel Herrera,VEN,"MF,FW",24,1998,10.7,418,407,8,1,4,4,19,1,0,0,0,0,332,3,5
