General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Aleix García,ESP,MF,25,1997,26.0,37,20,9,18,10,15,33,45.5,18,24,8,16,31,68,35,1
Alexander Callens,PER,DF,30,1992,1.3,3,3,2,1,0,3,4,75.0,1,3,1,2,1,4,9,0
Arnau Martinez,ESP,DF,19,2003,30.4,69,45,41,19,9,38,85,44.7,47,44,10,34,25,94,54,2
Bernardo Espinosa,COL,DF,33,1989,13.6,6,2,2,4,0,3,9,33.3,6,17,10,7,12,18,70,2
Borja García,ESP,"MF,FW",31,1990,7.5,10,4,7,2,1,2,9,22.2,7,3,1,2,5,15,6,1
Cristhian Stuani,URU,FW,35,1986,12.1,13,6,2,7,4,5,14,35.7,9,10,0,10,2,15,5,0
David López,ESP,DF,32,1989,18.4,31,18,17,13,1,19,27,70.4,8,29,19,10,14,45,64,1
Iván Martín,ESP,MF,23,1999,17.6,9,7,4,4,1,8,23,34.8,15,12,0,12,9,18,12,0
Javi Hernández,ESP,DF,24,1998,12.4,21,12,12,7,2,13,21,61.9,8,10,5,5,7,28,38,0
Joel Roca,ESP,"MF,FW",17,2005,0.9,2,2,2,0,0,2,5,40.0,3,1,1,0,0,2,1,0
Juan Carlos,ESP,GK,34,1988,10.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,1
Juanpe,ESP,DF,31,1991,15.8,19,11,10,9,0,11,17,64.7,6,12,9,3,10,29,60,1
Manu Vallejo,ESP,"FW,MF",25,1997,2.3,4,1,1,2,1,1,6,16.7,5,2,0,2,1,5,3,0
Miguel Gutiérrez,ESP,DF,21,2001,26.6,41,23,23,13,5,23,37,62.2,14,23,5,18,18,59,42,1
Oriol Romeu,ESP,MF,30,1991,32.8,70,38,36,26,8,26,51,51.0,25,48,10,38,37,107,54,0
Oscar Ureña,DOM,MF,19,2003,1.1,4,2,2,2,0,2,3,66.7,1,2,0,2,1,5,0,0
Paulo Gazzaniga,ARG,GK,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,5
Ramón Terrats,ESP,MF,21,2000,2.4,4,2,1,3,0,2,6,33.3,4,6,2,4,3,7,3,1
Reinier,BRA,"MF,FW",20,2002,7.2,12,10,7,3,2,2,8,25.0,6,6,0,6,5,17,4,0
Ricard Artero,ESP,"MF,FW",19,2003,1.5,3,3,2,1,0,1,1,100.0,0,2,0,2,1,4,3,0
Rodrigo Riquelme,ESP,"MF,FW",22,2000,24.2,20,8,8,8,4,9,35,25.7,26,16,0,16,11,31,5,0
Samuel Sáiz,ESP,MF,31,1991,2.7,2,2,0,2,0,1,2,50.0,1,3,0,3,0,2,1,1
Santiago Bueno,URU,DF,23,1998,33.4,63,38,43,19,1,24,36,66.7,12,34,22,12,31,94,105,2
Toni Villa,ESP,"MF,FW",27,1995,9.9,25,18,9,11,5,10,23,43.5,13,8,0,8,8,33,3,0
Valentín Castellanos,ARG,FW,23,1998,28.9,12,5,2,7,3,0,18,0.0,18,22,2,20,6,18,26,0
Valery Fernández,ESP,"MF,DF",22,1999,10.7,12,6,4,6,2,5,9,55.6,4,8,1,7,10,22,9,1
Viktor Tsyhankov,UKR,MF,24,1997,16.5,8,8,5,1,2,1,14,7.1,13,13,2,11,7,15,12,0
Yan Couto,BRA,"DF,MF",20,2002,12.9,25,18,11,11,3,12,20,60.0,8,7,2,5,5,30,10,0
Yangel Herrera,VEN,"MF,FW",24,1998,10.7,26,9,9,14,3,6,15,40.0,9,14,1,13,4,30,12,0
