NED-Eredivisie
2223
Fortuna Sittard
Arianit Ferati
KVX
MF
24
1997
27
18
1479
16.4
1
1
2
1
0
0
5
0
0.6
0.6
1.5
2.1
21
98
35
0.06
0.06
0.12
0.06
0.12
0.04
0.09
0.13
0.04
0.13
