General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alexandre Lacazette,FRA,FW,31,1991,32.5,43,23,7,17,19,10,29,34.5,19,23,3,20,15,58,4,0
Amin Sarr,SWE,FW,21,2001,6.0,9,6,1,4,4,1,4,25.0,3,2,0,2,0,9,4,0
Anthony Lopes,POR,GK,31,1990,31.3,1,0,1,0,0,1,4,25.0,3,0,0,0,3,4,10,0
Bradley Barcola,FRA,"FW,MF",19,2002,16.0,25,16,8,10,7,8,39,20.5,31,29,0,29,19,44,10,0
Castello Lukeba,FRA,DF,19,2002,33.2,39,23,27,8,4,21,31,67.7,10,42,24,18,75,114,105,1
Corentin Tolisso,FRA,MF,27,1994,22.6,44,27,16,23,5,25,66,37.9,41,25,5,20,24,68,23,1
Damien Da Silva,FRA,DF,34,1988,3.8,8,7,5,3,0,3,3,100.0,0,4,3,1,5,13,12,0
Dejan Lovren,CRO,DF,33,1989,16.2,25,19,20,5,0,20,29,69.0,9,20,10,10,26,51,70,1
Henrique,BRA,"DF,FW",28,1994,4.0,9,4,3,2,4,6,13,46.2,7,3,1,2,5,14,8,0
Houssem Aouar,ALG,MF,24,1998,5.8,12,5,5,5,2,3,9,33.3,6,12,2,10,8,20,3,0
Jeff Reine-Adélaïde,FRA,MF,24,1998,3.7,8,5,1,5,2,5,9,55.6,4,4,0,4,6,14,0,0
Jeffinho,BRA,FW,22,1999,5.0,17,4,4,9,4,6,15,40.0,9,6,0,6,1,18,0,0
Johann Lepenant,FRA,MF,19,2002,21.5,58,34,24,27,7,32,86,37.2,54,29,5,24,28,86,17,3
Jérôme Boateng,GER,DF,33,1988,4.8,3,0,2,1,0,2,6,33.3,4,8,5,3,6,9,16,0
Karl Toko Ekambi,CMR,"FW,MF",29,1992,15.0,9,9,2,4,3,4,15,26.7,11,12,2,10,9,18,6,0
Lucas Paquetá,BRA,MF,24,1997,1.8,5,4,0,5,0,1,3,33.3,2,2,0,2,1,6,3,0
Malo Gusto,FRA,DF,19,2003,17.7,42,26,23,11,8,21,43,48.8,22,22,5,17,28,70,23,1
Mamadou Sarr,FRA,MF,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Maxence Caqueret,FRA,MF,22,2000,30.7,87,54,27,38,22,43,109,39.4,66,45,3,42,39,126,27,0
Mohamed El Arouch,FRA,MF,18,2004,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Moussa Dembélé,FRA,"FW,MF",26,1996,9.7,8,4,3,3,2,4,7,57.1,3,5,0,5,2,10,6,0
Nicolás Tagliafico,ARG,DF,29,1992,33.2,91,53,36,41,14,50,78,64.1,28,45,11,34,57,148,47,0
Rayan Cherki,FRA,"MF,FW",18,2003,20.8,14,8,2,5,7,8,23,34.8,15,6,0,6,5,19,1,0
Romain Faivre,FRA,MF,24,1998,3.3,6,3,2,2,2,1,3,33.3,2,3,0,3,0,6,0,0
Rémy Riou,FRA,GK,34,1987,6.7,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0
Sael Kumbedi,FRA,DF,17,2005,14.7,47,27,27,13,7,20,38,52.6,18,23,7,16,10,57,16,0
Sinaly Diomande,CIV,DF,21,2001,21.7,42,24,26,15,1,31,49,63.3,18,26,13,13,49,91,75,1
Tetê,BRA,"FW,MF",22,2000,12.3,21,10,8,5,8,10,19,52.6,9,9,0,9,13,34,2,0
Thiago Mendes,BRA,"MF,DF",30,1992,22.9,48,27,24,21,3,30,40,75.0,10,28,8,20,47,95,51,4
