General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Alexandre Lacazette,FRA,FW,31,1991,32.5,27,107,47,43.9,3.29,1.44,0.2,0.45,14.4,8,6,8,24.2,17.9,0.17,2.8,3.1
Amin Sarr,SWE,FW,21,2001,6.0,1,6,5,83.3,1.01,0.84,0.17,0.2,12.7,0,0,0,1.2,1.2,0.2,-0.2,-0.2
Anthony Lopes,POR,GK,31,1990,31.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bradley Barcola,FRA,"FW,MF",19,2002,16.0,5,27,13,48.1,1.69,0.81,0.19,0.38,13.6,0,0,0,3.4,3.4,0.13,1.6,1.6
Castello Lukeba,FRA,DF,19,2002,33.2,2,13,5,38.5,0.39,0.15,0.15,0.4,10.2,0,0,0,1.2,1.2,0.09,0.8,0.8
Corentin Tolisso,FRA,MF,27,1994,22.6,1,30,9,30.0,1.33,0.4,0.03,0.11,23.0,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Damien Da Silva,FRA,DF,34,1988,3.8,0,2,0,0.0,0.53,0.0,0.0,,13.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Dejan Lovren,CRO,DF,33,1989,16.2,1,13,3,23.1,0.8,0.19,0.08,0.33,12.5,1,0,0,0.8,0.8,0.06,0.2,0.2
Henrique,BRA,"DF,FW",28,1994,4.0,0,1,0,0.0,0.25,0.0,0.0,,27.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Houssem Aouar,ALG,MF,24,1998,5.8,1,14,6,42.9,2.4,1.03,0.07,0.17,15.1,0,0,0,1.4,1.4,0.11,-0.4,-0.4
Jeff Reine-Adélaïde,FRA,MF,24,1998,3.7,0,10,7,70.0,2.68,1.87,0.0,0.0,20.0,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Jeffinho,BRA,FW,22,1999,5.0,1,10,5,50.0,2.02,1.01,0.1,0.2,15.7,0,0,0,1.1,1.1,0.11,-0.1,-0.1
Johann Lepenant,FRA,MF,19,2002,21.5,1,19,1,5.3,0.88,0.05,0.05,1.0,23.8,0,0,0,0.9,0.9,0.05,0.1,0.1
Jérôme Boateng,GER,DF,33,1988,4.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Karl Toko Ekambi,CMR,"FW,MF",29,1992,15.0,4,41,19,46.3,2.73,1.26,0.1,0.21,14.7,0,0,0,4.4,4.4,0.11,-0.4,-0.4
Lucas Paquetá,BRA,MF,24,1997,1.8,0,5,1,20.0,2.83,0.57,0.0,0.0,15.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Malo Gusto,FRA,DF,19,2003,17.7,0,7,3,42.9,0.39,0.17,0.0,0.0,20.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Mamadou Sarr,FRA,MF,16,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxence Caqueret,FRA,MF,22,2000,30.7,4,26,13,50.0,0.85,0.42,0.15,0.31,19.1,3,0,0,2.6,2.6,0.1,1.4,1.4
Mohamed El Arouch,FRA,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Moussa Dembélé,FRA,"FW,MF",26,1996,9.7,3,28,13,46.4,2.87,1.33,0.11,0.23,13.3,0,0,0,3.8,3.8,0.14,-0.8,-0.8
Nicolás Tagliafico,ARG,DF,29,1992,33.2,1,23,5,21.7,0.69,0.15,0.04,0.2,16.8,0,0,0,2.4,1.9,0.08,-1.4,-0.9
Rayan Cherki,FRA,"MF,FW",18,2003,20.8,4,61,21,34.4,2.93,1.01,0.07,0.19,18.7,3,0,0,4.9,4.9,0.08,-0.9,-0.9
Romain Faivre,FRA,MF,24,1998,3.3,0,5,2,40.0,1.5,0.6,0.0,0.0,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Rémy Riou,FRA,GK,34,1987,6.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Sael Kumbedi,FRA,DF,17,2005,14.7,0,9,2,22.2,0.61,0.14,0.0,0.0,21.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Sinaly Diomande,CIV,DF,21,2001,21.7,0,10,2,20.0,0.46,0.09,0.0,0.0,12.6,0,0,0,0.8,0.8,0.08,-0.8,-0.8
Tetê,BRA,"FW,MF",22,2000,12.3,6,30,13,43.3,2.44,1.06,0.2,0.46,16.5,1,0,0,4.2,4.2,0.14,1.8,1.8
Thiago Mendes,BRA,"MF,DF",30,1992,22.9,1,14,4,28.6,0.61,0.17,0.07,0.25,25.1,2,0,0,0.7,0.7,0.05,0.3,0.3
