General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alexandre Lacazette,FRA,FW,31,1991,32.5,917,845,61,8,8,4,35,1,6,1,4,0,661,11,30
Amin Sarr,SWE,FW,21,2001,6.0,142,136,6,0,0,0,4,1,0,0,0,0,104,0,3
Anthony Lopes,POR,GK,31,1990,31.3,1026,741,280,97,0,1,0,0,0,0,0,0,792,5,0
Bradley Barcola,FRA,"FW,MF",19,2002,16.0,466,460,3,0,0,1,21,3,0,0,0,0,324,3,17
Castello Lukeba,FRA,DF,19,2002,33.2,2257,2202,49,41,1,9,3,6,0,0,0,0,2034,6,17
Corentin Tolisso,FRA,MF,27,1994,22.6,1950,1859,90,82,11,33,37,4,2,0,1,0,1710,1,25
Damien Da Silva,FRA,DF,34,1988,3.8,254,238,16,2,0,3,2,14,0,0,0,0,217,0,3
Dejan Lovren,CRO,DF,33,1989,16.2,1096,1064,32,31,1,4,6,1,0,0,0,0,961,0,7
Henrique,BRA,"DF,FW",28,1994,4.0,223,181,42,6,0,1,4,36,0,0,0,0,192,0,3
Houssem Aouar,ALG,MF,24,1998,5.8,370,361,9,4,1,3,6,1,3,0,0,0,299,0,9
Jeff Reine-Adélaïde,FRA,MF,24,1998,3.7,329,312,16,5,2,0,13,1,8,4,2,0,285,1,5
Jeffinho,BRA,FW,22,1999,5.0,173,171,1,0,0,0,3,1,0,0,0,0,146,1,6
Johann Lepenant,FRA,MF,19,2002,21.5,1301,1284,17,12,3,4,9,5,0,0,0,0,1163,0,24
Jérôme Boateng,GER,DF,33,1988,4.8,223,217,6,5,1,1,1,0,0,0,0,0,179,0,1
Karl Toko Ekambi,CMR,"FW,MF",29,1992,15.0,617,599,16,2,5,2,25,13,1,0,1,0,493,2,20
Lucas Paquetá,BRA,MF,24,1997,1.8,126,121,5,1,5,2,1,1,1,0,0,0,110,0,3
Malo Gusto,FRA,DF,19,2003,17.7,1437,1229,205,21,1,0,116,183,1,0,0,0,1171,3,38
Mamadou Sarr,FRA,MF,16,2005,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Maxence Caqueret,FRA,MF,22,2000,30.7,1785,1663,117,39,5,5,99,6,68,24,28,0,1480,5,43
Mohamed El Arouch,FRA,MF,18,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0
Moussa Dembélé,FRA,"FW,MF",26,1996,9.7,191,176,15,0,0,0,2,1,0,0,0,0,138,0,10
Nicolás Tagliafico,ARG,DF,29,1992,33.2,1883,1602,276,19,0,1,68,256,1,0,0,0,1587,5,41
Rayan Cherki,FRA,"MF,FW",18,2003,20.8,1094,989,101,19,13,8,91,19,55,18,27,0,844,4,22
Romain Faivre,FRA,MF,24,1998,3.3,170,149,19,8,0,1,17,0,10,8,2,0,145,2,1
Rémy Riou,FRA,GK,34,1987,6.7,225,163,62,15,0,0,0,0,0,0,0,0,179,0,0
Sael Kumbedi,FRA,DF,17,2005,14.7,794,641,151,8,1,0,32,143,0,0,0,0,653,2,19
Sinaly Diomande,CIV,DF,21,2001,21.7,1468,1369,98,43,0,2,2,53,0,0,0,0,1257,1,18
Tetê,BRA,"FW,MF",22,2000,12.3,499,466,33,5,1,1,45,1,27,15,3,0,378,0,14
Thiago Mendes,BRA,"MF,DF",30,1992,22.9,1672,1610,57,48,6,15,6,8,0,0,0,0,1445,5,16
