General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Amos Pieper,GER,DF,24,1998,21.7,1206,1156,43,30,0,10,17,13,0,0,0,0,943,7,6
Anthony Jung,GER,"DF,FW",30,1991,29.1,1422,1193,224,15,0,3,46,209,0,0,0,0,1085,5,31
Christian Groß,GER,MF,33,1989,21.0,860,824,34,24,1,5,6,1,0,0,0,0,695,2,19
Dikeni-Rafid Salifou,TOG,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eren Dinkçi,GER,"FW,MF",20,2001,2.6,77,68,7,0,0,1,4,5,0,0,0,0,50,2,1
Fabio Chiarodia,ITA,DF,17,2005,0.7,22,20,2,2,0,1,0,0,0,0,0,0,15,0,1
Felix Agu,GER,"DF,FW",22,1999,0.5,25,19,6,0,0,0,1,6,0,0,0,0,16,0,2
Ilia Gruev,BUL,MF,22,2000,17.6,780,726,53,26,3,3,11,3,2,0,2,0,673,1,11
Jean-Manuel Mbom,GER,MF,22,2000,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Jens Stage,DEN,MF,25,1996,20.6,622,609,5,2,2,6,13,0,0,0,0,0,412,8,27
Jiří Pavlenka,CZE,GK,30,1992,32.3,1176,780,392,113,0,1,0,0,0,0,0,0,832,4,3
Lee Buchanan,ENG,"DF,FW",21,2001,5.2,267,228,39,1,1,3,18,38,0,0,0,0,179,0,4
Leonardo Bittencourt,GER,"MF,DF",28,1993,18.1,792,756,35,3,2,6,49,31,1,1,0,0,579,1,28
Marco Friedl,AUT,DF,24,1998,28.8,1731,1636,90,58,1,35,27,22,10,0,3,0,1407,5,18
Marvin Ducksch,GER,FW,28,1994,31.7,956,742,206,69,8,15,164,6,91,25,46,1,583,8,15
Maximilian Philipp,GER,"FW,MF",28,1994,4.9,138,133,3,1,0,1,0,0,0,0,0,0,109,2,1
Michael Zetterer,GER,GK,27,1995,1.7,61,46,15,3,0,1,0,0,0,0,0,0,43,0,0
Miloš Veljković,SRB,DF,26,1995,25.2,1411,1355,50,48,2,18,3,2,0,0,0,0,1145,6,8
Mitchell Weiser,GER,"DF,FW",28,1994,28.0,1341,1057,281,8,7,14,75,273,0,0,0,0,960,3,47
Niclas Füllkrug,GER,FW,29,1993,27.5,929,908,17,0,4,15,20,1,0,0,0,0,581,4,36
Nicolai Rapp,GER,"MF,DF",25,1996,0.8,59,56,3,2,0,1,1,1,0,0,0,0,47,0,2
Niklas Schmidt,GER,MF,24,1998,12.1,601,577,23,9,2,18,31,8,5,1,2,0,446,1,21
Niklas Stark,GER,DF,27,1995,23.1,1244,1205,38,34,1,5,2,4,0,0,0,0,1027,1,10
Oliver Burke,SCO,"FW,MF",25,1997,3.0,81,78,3,0,0,0,6,1,0,0,0,0,53,0,2
Romano Schmid,AUT,"MF,FW",22,2000,16.9,750,728,17,1,5,2,20,15,0,0,0,0,561,5,31
