General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Antonio Candreva,ITA,"MF,DF",35,1987,30.3,7,46,20,43.5,1.52,0.66,0.15,0.35,22.2,3,0,0,3.7,3.7,0.08,3.3,3.3
Antonio Iervolino,ITA,MF,19,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Boulaye Dia,SEN,"FW,MF",25,1996,28.0,16,47,21,44.7,1.68,0.75,0.32,0.71,15.0,0,1,1,8.8,8.0,0.17,7.2,7.0
Diego Valencia,CHI,"MF,FW",22,2000,2.6,0,1,1,100.0,0.39,0.39,0.0,0.0,10.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Domagoj Bradarić,CRO,DF,22,1999,25.0,0,7,0,0.0,0.28,0.0,0.0,,23.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2
Domen Črnigoj,SVN,MF,26,1995,3.3,0,1,0,0.0,0.3,0.0,0.0,,6.9,0,0,0,0.1,0.1,0.1,-0.1,-0.1
Dylan Bronn,TUN,DF,27,1995,18.7,0,8,1,12.5,0.43,0.05,0.0,0.0,15.8,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Emil Bohinen,NOR,MF,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Erik Botheim,NOR,"MF,FW",22,2000,9.6,1,7,1,14.3,0.73,0.1,0.14,1.0,13.5,0,0,0,0.6,0.6,0.08,0.4,0.4
Federico Bonazzoli,ITA,"FW,MF",25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4
Federico Fazio,ARG,DF,35,1987,11.9,1,11,2,18.2,0.92,0.17,0.09,0.5,10.7,0,0,0,0.7,0.7,0.06,0.3,0.3
Flavius Daniliuc,AUT,DF,21,2001,24.4,0,10,4,40.0,0.41,0.16,0.0,0.0,13.1,1,0,0,0.6,0.6,0.07,-0.6,-0.6
Franck Ribéry,FRA,MF,39,1983,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Giulio Maggiore,ITA,MF,24,1998,9.9,0,6,0,0.0,0.6,0.0,0.0,,16.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Grigoris Kastanos,CYP,"MF,DF",24,1998,14.3,2,30,9,30.0,2.1,0.63,0.07,0.22,22.2,0,0,0,1.9,1.9,0.06,0.1,0.1
Guillermo Ochoa,MEX,GK,37,1985,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Hans Nicolussi Caviglia,ITA,MF,22,2000,6.5,1,5,1,20.0,0.77,0.15,0.2,1.0,23.4,0,0,0,0.4,0.4,0.09,0.6,0.6
Ivan Radovanović,SRB,"MF,DF",33,1988,7.5,0,7,0,0.0,0.94,0.0,0.0,,33.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Julian Kristoffersen,NOR,FW,25,1997,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Junior Sambia,FRA,DF,25,1996,7.7,0,13,5,38.5,1.68,0.65,0.0,0.0,24.1,5,0,0,0.6,0.6,0.05,-0.6,-0.6
Krzysztof Piątek,POL,FW,27,1995,23.8,4,57,19,33.3,2.4,0.8,0.05,0.16,15.5,1,1,1,8.3,7.6,0.13,-4.3,-4.6
Lassana Coulibaly,MLI,MF,26,1996,32.1,3,16,6,37.5,0.5,0.19,0.19,0.5,20.8,0,0,0,0.8,0.8,0.05,2.2,2.2
Lorenzo Pirola,ITA,DF,20,2002,21.6,2,13,2,15.4,0.6,0.09,0.15,1.0,11.5,0,0,0,1.5,1.5,0.11,0.5,0.5
Luigi Sepe,ITA,GK,31,1991,17.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Matteo Lovato,ITA,DF,22,2000,9.0,0,1,0,0.0,0.11,0.0,0.0,,22.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Norbert Gyömbér,SVK,DF,30,1992,19.3,0,8,0,0.0,0.41,0.0,0.0,,12.9,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Pasquale Mazzocchi,ITA,DF,27,1995,21.8,2,18,6,33.3,0.83,0.28,0.11,0.33,21.0,1,0,0,1.3,1.3,0.07,0.7,0.7
Tonny Vilhena,NED,MF,27,1995,25.2,4,31,9,29.0,1.23,0.36,0.13,0.44,26.0,1,0,0,2.4,2.4,0.08,1.6,1.6
Vincenzo Fiorillo,ITA,GK,32,1990,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
William Troost-Ekong,NGA,DF,28,1993,4.9,1,2,1,50.0,0.41,0.2,0.5,1.0,9.0,0,0,0,0.7,0.7,0.35,0.3,0.3
