General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Antonio Candreva,ITA,"MF,DF",35,1987,30.3,1165,1597,72.9,19672,6882,604,660,91.5,393,536,73.3,124,285,43.5,4,4.7,4.9,-0.7,57,98,55,30,135
Antonio Iervolino,ITA,MF,19,2003,0.1,6,7,85.7,161,31,2,2,100.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0.0,0,1,1,0,2
Boulaye Dia,SEN,"FW,MF",25,1996,28.0,449,589,76.2,6689,1268,238,287,82.9,148,184,80.4,29,39,74.4,6,3.1,1.9,2.9,35,31,16,2,50
Diego Valencia,CHI,"MF,FW",22,2000,2.6,52,75,69.3,753,195,37,44,84.1,8,14,57.1,5,7,71.4,0,0.1,0.0,-0.1,2,1,2,1,4
Domagoj Bradarić,CRO,DF,22,1999,25.0,857,1155,74.2,13414,4480,462,535,86.4,315,414,76.1,55,144,38.2,3,2.3,1.5,0.7,17,40,17,9,52
Domen Črnigoj,SVN,MF,26,1995,3.3,79,111,71.2,1189,263,42,55,76.4,31,36,86.1,4,10,40.0,0,0.4,0.6,-0.4,2,8,0,0,3
Dylan Bronn,TUN,DF,27,1995,18.7,855,1007,84.9,15486,6081,355,387,91.7,407,443,91.9,82,137,59.9,0,0.4,0.8,-0.4,5,62,4,1,70
Emil Bohinen,NOR,MF,23,1999,9.2,404,479,84.3,5591,1452,238,262,90.8,127,146,87.0,16,28,57.1,0,0.7,0.3,-0.7,12,25,5,1,31
Erik Botheim,NOR,"MF,FW",22,2000,9.6,165,231,71.4,2038,460,99,126,78.6,42,59,71.2,5,7,71.4,3,1.8,0.7,1.2,9,10,4,0,21
Federico Bonazzoli,ITA,"FW,MF",25,1997,12.4,264,354,74.6,4654,966,135,162,83.3,84,104,80.8,37,53,69.8,1,1.1,0.7,-0.1,8,30,6,0,43
Federico Fazio,ARG,DF,35,1987,11.9,410,536,76.5,7740,3216,139,170,81.8,214,250,85.6,47,94,50.0,0,0.1,0.1,-0.1,3,24,3,0,40
Flavius Daniliuc,AUT,DF,21,2001,24.4,969,1127,86.0,18211,7113,377,415,90.8,475,524,90.6,101,153,66.0,2,0.5,0.2,1.5,7,56,2,0,70
Franck Ribéry,FRA,MF,39,1983,0.4,19,22,86.4,235,19,11,12,91.7,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Giulio Maggiore,ITA,MF,24,1998,9.9,351,472,74.4,5873,1564,166,208,79.8,140,163,85.9,33,67,49.3,0,0.5,0.6,-0.5,3,35,11,0,53
Grigoris Kastanos,CYP,"MF,DF",24,1998,14.3,460,621,74.1,6840,2528,253,281,90.0,130,181,71.8,37,77,48.1,1,0.6,0.9,0.4,13,47,11,3,57
Guillermo Ochoa,MEX,GK,37,1985,20.0,441,760,58.0,14422,10713,62,63,98.4,183,186,98.4,196,507,38.7,0,0.0,0.0,0.0,0,13,0,0,0
Hans Nicolussi Caviglia,ITA,MF,22,2000,6.5,184,248,74.2,3241,951,74,90,82.2,83,105,79.0,17,29,58.6,0,0.0,0.1,0.0,2,21,0,0,19
Ivan Radovanović,SRB,"MF,DF",33,1988,7.5,214,265,80.8,4318,1602,75,84,89.3,105,115,91.3,32,57,56.1,0,0.0,0.1,0.0,1,19,0,0,16
