General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Antonio Candreva,ITA,"MF,DF",35,1987,30.3,17,7,13,2,2,11,38,28.9,27,7,3,4,17,34,32,0
Antonio Iervolino,ITA,MF,19,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Boulaye Dia,SEN,"FW,MF",25,1996,28.0,12,5,3,6,3,2,7,28.6,5,10,0,10,7,19,27,1
Diego Valencia,CHI,"MF,FW",22,2000,2.6,8,5,4,2,2,2,9,22.2,7,10,1,9,1,9,2,0
Domagoj Bradarić,CRO,DF,22,1999,25.0,26,19,14,8,4,7,16,43.8,9,20,5,15,21,47,44,0
Domen Črnigoj,SVN,MF,26,1995,3.3,8,3,0,7,1,1,2,50.0,1,9,1,8,9,17,6,0
Dylan Bronn,TUN,DF,27,1995,18.7,34,18,17,16,1,20,30,66.7,10,32,20,12,20,54,58,1
Emil Bohinen,NOR,MF,23,1999,9.2,25,13,15,8,2,12,23,52.2,11,25,7,18,17,42,21,0
Erik Botheim,NOR,"MF,FW",22,2000,9.6,11,7,3,4,4,6,13,46.2,7,3,0,3,0,11,4,0
Federico Bonazzoli,ITA,"FW,MF",25,1997,12.4,5,3,0,3,2,0,9,0.0,9,9,1,8,3,8,0,0
Federico Fazio,ARG,DF,35,1987,11.9,15,12,8,7,0,4,11,36.4,7,9,4,5,28,43,61,0
Flavius Daniliuc,AUT,DF,21,2001,24.4,57,29,37,17,3,26,47,55.3,21,30,13,17,29,86,76,0
Franck Ribéry,FRA,MF,39,1983,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Giulio Maggiore,ITA,MF,24,1998,9.9,20,8,11,6,3,10,21,47.6,11,19,4,15,8,28,10,0
Grigoris Kastanos,CYP,"MF,DF",24,1998,14.3,39,23,18,19,2,16,40,40.0,24,20,6,14,8,47,8,0
Guillermo Ochoa,MEX,GK,37,1985,20.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1
Hans Nicolussi Caviglia,ITA,MF,22,2000,6.5,15,6,5,8,2,9,15,60.0,6,9,0,9,7,22,7,1
Ivan Radovanović,SRB,"MF,DF",33,1988,7.5,12,4,8,4,0,4,10,40.0,6,9,3,6,7,19,9,1
Julian Kristoffersen,NOR,FW,25,1997,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Junior Sambia,FRA,DF,25,1996,7.7,12,5,7,4,1,6,10,60.0,4,9,3,6,8,20,16,1
Krzysztof Piątek,POL,FW,27,1995,23.8,18,11,3,9,6,5,21,23.8,16,17,4,13,2,20,39,0
Lassana Coulibaly,MLI,MF,26,1996,32.1,84,50,42,35,7,30,73,41.1,43,35,7,28,25,109,33,2
Lorenzo Pirola,ITA,DF,20,2002,21.6,33,29,18,14,1,19,27,70.4,8,50,35,15,30,63,85,1
Luigi Sepe,ITA,GK,31,1991,17.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Matteo Lovato,ITA,DF,22,2000,9.0,17,14,14,3,0,10,25,40.0,15,8,5,3,13,30,33,2
Norbert Gyömbér,SVK,DF,30,1992,19.3,32,23,25,6,1,16,24,66.7,8,33,22,11,35,67,92,0
Pasquale Mazzocchi,ITA,DF,27,1995,21.8,32,18,21,5,6,17,37,45.9,20,10,2,8,10,42,37,2
Tonny Vilhena,NED,MF,27,1995,25.2,44,22,16,23,5,20,50,40.0,30,17,7,10,18,62,21,0
Vincenzo Fiorillo,ITA,GK,32,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
William Troost-Ekong,NGA,DF,28,1993,4.9,11,3,7,4,0,6,7,85.7,1,7,4,3,6,17,10,0
