General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alfie Gilchrist,ENG,DF,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Armando Broja,ALB,FW,20,2001,12,294,25,8.6,3.3,2,67,0,10,16,1,1.5,5,5,0,0.0,0.26,2.8,4.4,-1.6,-0.49,-0.45
Bashir Humphreys,ENG,DF,19,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ben Chilwell,ENG,"DF,MF",25,1996,23,1408,61,41.2,15.6,15,85,10,8,17,2,1.26,16,19,-3,-0.19,0.08,20.2,18.4,1.7,0.11,0.32
Benoît Badiashile,FRA,DF,21,2001,11,905,82,26.5,10.1,10,90,10,1,5,7,1.55,11,9,2,0.2,0.59,14.0,12.3,1.7,0.17,0.34
Billy Gilmour,SCO,MF,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Callum Hudson-Odoi,ENG,"FW,MF",21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Carney Chukwuemeka,ENG,"MF,FW",18,2003,14,354,25,10.4,3.9,2,72,0,12,18,7,1.29,2,7,-5,-1.27,-1.15,6.0,8.2,-2.2,-0.55,-0.53
Christian Pulisic,USA,"FW,DF",23,1998,24,821,34,24.0,9.1,8,64,0,16,19,5,1.13,12,11,1,0.11,0.46,11.0,14.1,-3.0,-0.33,-0.33
Conor Gallagher,ENG,MF,22,2000,35,1621,46,47.4,18.0,18,73,8,17,18,2,1.23,15,22,-7,-0.39,-0.29,21.2,26.1,-4.9,-0.27,-0.36
César Azpilicueta,ESP,DF,32,1989,25,1527,61,44.6,17.0,16,82,12,9,23,6,1.12,17,21,-4,-0.24,0.0,22.5,27.0,-4.5,-0.27,-0.34
