General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aymeric Laporte,ESP,DF,28,1994,11.0,964,926,37,21,1,6,6,10,0,0,0,0,892,1,5
Bernardo Silva,POR,"MF,FW",27,1994,24.5,1543,1468,73,15,3,10,75,48,7,0,2,0,1317,2,27
Cole Palmer,ENG,"MF,FW",20,2002,4.1,193,191,2,0,0,1,7,1,1,0,0,0,167,0,1
Ederson,BRA,GK,28,1993,35.0,1257,1049,207,55,1,8,0,0,0,0,0,0,1079,1,1
Erling Haaland,NOR,FW,22,2000,30.8,500,449,45,0,4,0,12,2,1,0,0,0,360,6,21
Jack Grealish,ENG,FW,26,1995,22.8,1072,1011,56,7,6,8,53,25,24,12,0,1,902,5,35
John Stones,ENG,"DF,MF",28,1994,20.5,1563,1496,66,17,1,14,6,45,1,0,0,0,1453,1,10
João Cancelo,POR,DF,28,1994,14.2,1220,1120,98,20,2,14,45,78,0,0,0,0,1036,2,15
Julián Álvarez,ARG,"FW,MF",22,2000,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17
Kalvin Phillips,ENG,MF,26,1995,3.3,313,310,2,2,0,2,0,0,0,0,0,0,289,1,1
Kevin De Bruyne,BEL,MF,31,1991,26.9,1626,1454,160,53,28,27,226,31,72,20,32,6,1192,12,41
Kyle Walker,ENG,DF,32,1990,21.8,1892,1732,158,25,4,21,28,133,0,0,0,0,1661,2,18
Manuel Akanji,SUI,DF,27,1995,25.4,2056,1999,55,28,0,8,6,27,0,0,0,0,1912,2,8
Máximo Perrone,ARG,MF,19,2003,0.2,21,20,0,0,0,0,0,0,0,0,0,0,18,1,1
Nathan Aké,NED,DF,27,1995,20.8,1813,1685,126,35,1,6,15,91,0,0,0,0,1639,2,26
Phil Foden,ENG,FW,22,2000,20.5,1111,1046,61,9,4,4,91,13,39,4,26,2,904,4,32
Rico Lewis,ENG,"DF,MF",17,2004,10.0,675,633,41,7,1,0,5,31,0,0,0,0,617,1,9
Riyad Mahrez,ALG,"FW,MF",31,1991,21.3,1166,1028,138,36,10,7,96,37,65,26,20,1,958,0,18
Rodri,ESP,MF,26,1996,32.3,2987,2943,43,37,2,26,6,3,0,0,0,0,2723,1,21
Rúben Dias,POR,DF,25,1997,22.2,2080,2029,51,38,1,6,1,7,0,0,0,0,1928,0,7
Sergio Gómez,ESP,"DF,MF",21,2000,3.9,317,287,30,5,0,0,8,22,3,0,3,0,279,0,7
Shea Charles,NIR,DF,18,2003,0.3,25,22,3,1,0,0,0,1,0,0,0,0,23,0,1
Stefan Ortega,GER,GK,29,1992,3.0,167,152,15,3,0,0,0,0,0,0,0,0,145,0,1
İlkay Gündoğan,GER,MF,31,1990,26.1,1578,1519,56,24,18,6,30,5,21,7,4,1,1374,3,27
