name,id
Leif Davis,8574c61f
Omari Hutchinson,bd9553e6
Liam Delap,dd897ee7
Dara O'Shea,1d042188
Sam Morsy,a23c0949
Arijanet Muric,99aa1a84
Jacob Greaves,1f169636
Jens Cajuste,928a4a61
Axel Tuanzebe,2baec6ce
Sammie Szmodics,39944392
Kalvin Phillips,4f565d77
Wes Burns,b3fe23c6
Cameron Burgess,da61ca98
Ben Johnson,9319781b
Luke Woolfenden,e28e9bec
Jack Clarke,e16932d8
Conor Chaplin,4ec55b87
Christian Walton,c666574f
Nathan Broadhead,43309491
Harry Clarke,a64f2573
Jaden Philogene Bidace,19f4d211
Alex Palmer,6ea97fd5
Chiedozie Ogbene,788c0277
Massimo Luongo,967ac6e1
Julio Enciso,9cfbad36
Ben Godfrey,9f7c837d
Jack Taylor,48eed8d5
George Hirst,78e87179
Conor Townsend,4dc4f138
Ali Al Hamadi,8450467d
Marcus Harness,90e9ca3d
George Edmundson,46ff3923
Cieran Slicker,02aed921
Squad Total,
Opponent Total,
