name,id
Nathan Collins,a8c19eb8
Bryan Mbeumo,6afaebf2
Mark Flekken,a92ab7be
Keane Lewis-Potter,41f08ac8
Mikkel Damsgaard,215f3907
Vitaly Janelt,8449d35e
Yoane Wissa,2500cef9
Christian Nørgaard,df0a4c90
Sepp van den Berg,7bf9400b
Ethan Pinnock,e541326e
Kevin Schade,52afb588
Kristoffer Ajer,a8c0acb7
Mads Roerslev,57c94db2
Mathias Jensen,0f134faf
Yehor Yarmoliuk,907a5d7c
Fabio Carvalho,966e28d0
Ben Mee,8df7a2fb
Hákon Rafn Valdimarsson,57a34cf4
Thiago,dc45ac24
Edmond-Paris Maghoma,8a3ddcd2
Michael Kayode,e19660a8
Kim Jisoo,f4065d9e
Yunus Emre Konak,e02b5b36
Frank Onyeka,2944f86f
Jayden Meghoma,07382f6c
Rico Henry,8a3c1dc7
Ryan Trevitt,732327ae
Benjamin Arthur,093f0923
Julian Eyestone,e839dde1
Iwan Morgan,ad31049a
Myles Peart-Harris,ea1a5662
Tony Yogane,4cccbed1
Squad Total,
Opponent Total,
