name,id
Bart Verbruggen,cf134113
Jan Paul van Hecke,4fd08daa
Kaoru Mitoma,74618572
Carlos Baleba,a1390d2f
Joël Veltman,dad4b285
João Pedro,e8832875
Lewis Dunk,282f75f3
Georginio Rutter,c64c01fc
Danny Welbeck,ce5143da
Pervis Estupiñán,d38fdf53
Yasin Ayari,f173303a
Jack Hinshelwood,e98211e7
Yankuba Minteh,c3cf087d
Igor,a4e85758
Tariq Lamptey,f4e433d4
Simon Adingra,4dcec659
Adam Webster,c40b6180
Matt O'Riley,fb495bb8
Ferdi Kadioglu,66c52a77
Brajan Gruda,ae9b998d
Mats Wieffer,4876c9ab
James Milner,2f90f6b8
Julio Enciso,9cfbad36
Evan Ferguson,4596da74
Jason Steele,28300a16
Diego Gómez,916728da
Billy Gilmour,df10e27c
Solly March,bb5fbd2b
Jakub Moder,f230bc30
Jeremy Sarmiento,ac0d576d
Valentín Barco,b9f282ec
Killian Cahill,4352b7be
Eiran Cashin,f557c3b8
Joe Knight,16168a0f
Ruairi Mcconville,1a28b886
Mark O'Mahony,a3afdd69
Carl Rushworth,810912d5
Imari Samuels,8218e831
Jacob Slater,a4a51de9
Squad Total,
Opponent Total,
