name,id
Virgil van Dijk,e06683ca
Mohamed Salah,e342ad68
Ryan Gravenberch,b8e740fb
Alexis Mac Allister,83d074ff
Trent Alexander-Arnold,cd1acf9d
Andrew Robertson,2e4f5f03
Dominik Szoboszlai,934e1968
Ibrahima Konaté,5ed9b537
Luis Díaz,4a1a9578
Alisson,7a2e46a8
Cody Gakpo,1971591f
Curtis Jones,4fb9c88f
Diogo Jota,178ae8f8
Caoimhín Kelleher,62d7ef38
Darwin Núñez,4d77b365
Joe Gomez,7a11550b
Kostas Tsimikas,f315ca93
Conor Bradley,bbd67769
Jarell Quansah,4125cb98
Wataru Endo,c149016b
Harvey Elliott,b9e1436c
Federico Chiesa,b0f7e36c
Vitezslav Jaros,12bb4d6a
Jayden Danns,003cf4d1
Harvey Davies,fd08a24b
James McConnell,bf973eeb
Tyler Morton,2bc28bb9
Amara Nallo,398a24f6
Trey Nyoni,1d3b3d77
Squad Total,
Opponent Total,
