name,id
Illan Meslier,6b625ac2
Joe Rodon,8d62d31a
Jayden Bogle,ae5019e6
Brenden Aaronson,5bc43860
Ao Tanaka,1d36d6b6
Pascal Struijk,f4d296e4
Joël Piroe,1f0072a6
Daniel James,c931d9f9
Joe Rothwell,10a10454
Junior Firpo,24f59bb2
Wilfried Gnonto,75fdd638
Manor Solomon,886f9aac
Ethan Ampadu,10b9fa99
Sam Byram,1bf811d4
Ilia Gruev,1fc4f3d1
Mateo Joseph,6ad43f9a
Largie Ramazani,cc9256ef
Maximilian Wöber,4b803b3c
Georginio Rutter,c64c01fc
Patrick Bamford,93feac6e
Josuha Guilavogui,e6c43eec
Isaac Schmidt,f8b9b94d
Samuel Chambers,30b33655
Joe Gelhardt,01962d0d
Charlie Crew,e8392083
James Debayo,3b9bf650
Alex Cairns,1a5e36e7
Karl Darlow,cde3309f
Squad Total,
Opponent Total,
