name,id
David Raya,98ea5115
William Saliba,972aeb2a
Gabriel Magalhães,67ac5bb8
Jurriën Timber,41034650
Declan Rice,1c7012b8
Thomas Partey,529f49ab
Kai Havertz,fed7cb61
Leandro Trossard,38ceb24a
Martin Ødegaard,79300479
Gabriel Martinelli,48a5a5d6
Bukayo Saka,bc7dc64d
Mikel Merino,d080ed5e
Riccardo Calafiori,aded8e6f
Myles Lewis-Skelly,5dff6c28
Ben White,35e413f1
Jorginho,45db685d
Gabriel Jesus,b66315ae
Ethan Nwaneri,7f94982c
Raheem Sterling,b400bde0
Jakub Kiwior,dc3e663e
Oleksandr Zinchenko,51cf8561
Kieran Tierney,fce2302c
Takehiro Tomiyasu,b3af9be1
Reiss Nelson,c5bdb6e3
Nathan Butler-Oyedeji,3a686640
Ayden Heaven,64e17fab
Ismeal Kabia,6b15cf32
Maldini Kacurri,7be4311f
Neto,a9dc785c
Josh Nichols,676cf55d
Eddie Nketiah,a53649b7
Salah Oulad M'Hand,b85c3273
Jack Porter,0b4ecd65
Aaron Ramsdale,466fb2c5
Tommy Setford,d1a2e006
Squad Total,
Opponent Total,
