name,id
Cole Palmer,dc7f8a28
Moisés Caicedo,16264a81
Levi Colwill,700783e7
Marc Cucurella,1daec722
Nicolas Jackson,9c36ed83
Enzo Fernández,5ff4ab71
Robert Sánchez,6a713852
Noni Madueke,bf34eebd
Malo Gusto,d56b9520
Pedro Neto,7ba2eaa9
Jadon Sancho,dbf053da
Wesley Fofana,132a82f1
Tosin Adarabioyo,c81d773d
Roméo Lavia,ecad9aa5
Reece James,1265a93a
Christopher Nkunku,7c56da38
Filip Jørgensen,0107757e
Axel Disasi,ad82197c
Trevoh Chalobah,5515376c
João Félix,8aafd64f
Benoît Badiashile,06df8256
Joshua Acheampong,b7e62e1d
Kiernan Dewsbury-Hall,5c74c0f5
Renato Veiga,fc8fcbd1
Mykhailo Mudryk,049a888d
Marc Guiu,d3d774cc
Tyrique George,e6f7797e
Mathis Amougou,f93cca97
Shumaira Mheuka,43d0b694
Aaron Anselmino,1d87670e
Marcus Bettinelli,0d85a4e8
Cesare Casadei,fb920f3a
Samuel Rak-Sakyi,301ba71e
Ishé Samuels-Smith,da95fde0
Squad Total,
Opponent Total,
