name,id
Jordan Pickford,4806ec67
James Tarkowski,15ea812b
Vitaliy Mykolenko,30d4a2e5
Idrissa Gana Gueye,72c812f3
Iliman Ndiaye,5ed97752
Abdoulaye Doucouré,02b29014
Dominic Calvert-Lewin,59e6e5bf
Jarrad Branthwaite,c1949191
Ashley Young,be927d03
Jack Harrison,aa849a12
Orel Mangala,a572e291
Jesper Lindstrøm,37dc1a48
Dwight McNeil,fc15fb84
Michael Keane,c5b7c315
James Garner,4e015693
Jake O'Brien,25f2ef01
Beto,ed5c0319
Tim Iroegbunam,84c5ceea
Carlos Alcaraz,4abac767
Séamus Coleman,0420d84f
Armando Broja,97220da2
Roman Dixon,6fba4dba
Nathan Patterson,230f0471
Harrison Armstrong,de59e609
Mason Holgate,d0042ab9
Callum Bates,b2010f35
Asmir Begović,7b4de647
Youssef Chermiti,890f108d
Coby Ebere,61a42f10
Isaac Heath,b54c480e
Neal Maupay,4bcf39f6
Jenson Metcalfe,5c2595e2
Martin Sherif,74c0903d
João Virgínia,728e9b2e
Squad Total,
Opponent Total,
