name,id
Bernd Leno,2628fd2b
Antonee Robinson,289601e6
Alex Iwobi,6ca5ec4b
Calvin Bassey,a36524bf
Saša Lukić,c6e8cf1f
Raúl Jiménez,b561db50
Emile Smith Rowe,17695062
Joachim Andersen,e34fc66d
Andreas Pereira,6639e500
Sander Berge,d0b6129f
Adama Traoré,9a28eba4
Kenny Tete,77d7c96f
Issa Diop,a712ca2b
Timothy Castagne,197640fd
Harry Wilson,c6dc9ecd
Rodrigo Muniz,a755db8c
Reiss Nelson,c5bdb6e3
Tom Cairney,a8748947
Jorge Cuenca,0abc51f2
Ryan Sessegnon,6aa3e78b
Joshua King,86109b3b
Harrison Reed,803ae100
Willian,8b9ebd03
Martial Godo,e0eea46f
Carlos Vinícius,8b529245
Jay Stansfield,b2626673
Samuel Amissah,2835bfe1
Steven Benda,caaa7fab
Squad Total,
Opponent Total,
