name,id
Rayan Aït-Nouri,9b398aea
João Gomes,8b57ad2c
Matheus Cunha,dc62b55d
Nélson Semedo,d04b94db
Jørgen Strand Larsen,f553b2b3
José Sá,903b6e8b
André,ec604e2c
Toti Gomes,f0caab96
Santiago Bueno,edc98fac
Matt Doherty,d557d734
Mario Lemina,2b471f99
Jean-Ricner Bellegarde,10f0fdd3
Craig Dawson,3e9e06cb
Gonçalo Guedes,e6bc67d7
Sam Johnstone,9e5708be
Rodrigo Gomes,8dcf77c0
Pablo Sarabia,9744ff80
Hwang Hee-chan,169fd162
Yerson Mosquera,1e159d70
Emmanuel Agbadou,75f1ed80
Tommy Doyle,5526deb1
Marshall Munetsi,2acf0cd7
Carlos Forbs,8a310070
Pedro Lima,b2f4cad5
Daniel Podence,7fcc71d8
Nasser Djiga,1a7a4d84
Chiquinho,dc6c2f02
Alfie Pond,039c3d96
Daniel Bentley,68db6358
Tawanda Chirewa,34721c11
Luke Cundle,cc3b8e78
Tom Edozie,3354ea94
Mateus Mane,c15cb409
Bastien Meupiyou,dcd94cdb
Wesley Okoduwa,58469e7c
Boubacar Traoré,999ceb5f
Squad Total,
Opponent Total,
