name,id
Max Kilman,d0f72bf1
Aaron Wan-Bissaka,9e525177
Jarrod Bowen,79c84d1c
Tomáš Souček,6613c819
Mohammed Kudus,b62878a5
Emerson Palmieri,e0bc6fdc
Lucas Paquetá,9b6f7fd5
Edson Álvarez,8b3ab7ad
Konstantinos Mavropanos,00963611
Alphonse Areola,2f965a72
Guido Rodríguez,34e393f2
Łukasz Fabiański,9328b835
Carlos Soler,fed17f5a
Michail Antonio,ac05f970
Jean-Clair Todibo,88f130ed
Vladimír Coufal,fdf3cb77
Crysencio Summerville,df04eb4b
Aaron Cresswell,4f974391
Niclas Füllkrug,4f16405e
Oliver Scarles,242e5e6d
James Ward-Prowse,3515d404
Danny Ings,07802f7f
Andy Irving,b1be9fc0
Evan Ferguson,4596da74
Luis Guilherme,b7672d43
Lewis Orford,40aaa04c
Kaelan Casey,cd4b2c5f
Wes Foderingham,96cf7b61
Ezra Mayers,9a85a651
Squad Total,
Opponent Total,
