name,id
Milos Kerkez,0ad53bdc
Antoine Semenyo,efd2ec23
Illia Zabarnyi,88968486
Lewis Cook,2afc7272
Ryan Christie,26ce2263
Justin Kluivert,4c3a6744
Kepa Arrizabalaga,28d596a0
Evanilson,6f3cc2fe
Dean Huijsen,87278bce
Dango Ouattara,2f9e4435
Marcus Tavernier,5c0da4a4
Adam Smith,20b104bc
Tyler Adams,2b09d998
Marcos Senesi,35141f4c
David Brooks,dc4cae05
Mark Travers,fe558029
Julian Araujo,8f4541c2
James Hill,69942fb3
Alex Scott,104d0bb8
Enes Ünal,f8eca1b6
Neto,a9dc785c
Luis Sinisterra,8e16dd48
Philip Billing,d328a254
Max Aarons,774cf58b
Daniel Jebbison,03edb878
Ben Winterburn,ba31eee2
Remy Rees-Dottin,1db75ccb
Zain Silcott-Duberry,2f5fa231
Daniel Adu-Adjei,2093823e
Matai Akinmboni,cfed08d5
Jaidon Anthony,e4238fb1
Will Dennis,d8edc4be
Archie Harris,8eab81d9
Hamed Junior Traorè,570bb4b9
Callan Mckenna,9d316492
Dominic Sadi,54778940
Julio Soler,98c8559a
Maxwell Wellings,ed46ab76
Squad Total,
Opponent Total,
