name,id
André Onana,e9c0c1b2
Diogo Dalot,d9565625
Bruno Fernandes,507c7bdf
Noussair Mazraoui,b74277a0
Matthijs de Ligt,d6e53a3a
Lisandro Martínez,bac46a10
Amad Diallo,9dc96f10
Rasmus Højlund,491a433d
Alejandro Garnacho,7aa8adfe
Harry Maguire,d8931174
Kobbie Mainoo,c6220452
Manuel Ugarte Ribeiro,c9817014
Casemiro,4d224fe8
Marcus Rashford,a1d5bd30
Joshua Zirkzee,028e70b9
Christian Eriksen,980522ec
Leny Yoro,6763f716
Mason Mount,9674002f
Jonny Evans,f8fcd2a5
Patrick Dorgu,e6536124
Tyrell Malacia,6b6c793c
Antony,99127249
Toby Collyer,4f9091bc
Luke Shaw,9c94165b
Victor Lindelöf,f5deef4c
Chidozie Obi-Martin,0c9bfc3b
Scott McTominay,d93c2511
Harry Amass,7b47100c
Altay Bayındır,072e68ed
Jayce Fitzgerald,462c5660
Jack Fletcher,38a6c944
Tyler Fredricson,58630379
Hubert Graczyk,aa41418a
Elyh Harrison,6175ebf8
Tom Heaton,a6de6361
Ayden Heaven,64e17fab
Sekou Koné,dedb9d04
Godwill Kukonki,30416cc3
Jack Moorhouse,973d6049
Ethan Wheatley,5c368c88
