name,id
Kyle Walker-Peters,984a5a64
Mateus Fernandes,ef491564
Taylor Harwood-Bellis,47327321
Jan Bednarek,4115ce4e
Aaron Ramsdale,466fb2c5
Joe Aribo,328f7d51
Flynn Downes,69fdb896
Tyler Dibling,bdcc89ae
Adam Armstrong,68c720b5
Yukinari Sugawara,580bcd18
Cameron Archer,05e8ca6d
James Bree,c07b7c5c
Jack Stephens,6adbc307
Ryan Manning,847b53eb
Lesley Ugochukwu,1df4a109
Paul Onuachu,c06d1086
Nathan Wood-Gordon,4ccf2d5b
Kamaldeen Sulemana,a62f8bf1
William Smallbone,5e105217
Alex McCarthy,36c2ca73
Adam Lallana,99813635
Ben Brereton,57827369
Ryan Fraser,d56543a0
Joe Lumley,bdf3a08e
Welington,a7f95b1f
Charlie Taylor,cc2d7ad5
Armel Bella Kotchap,a39d11bc
Ross Stewart,18986367
Maxwel Cornet,beb391dd
Albert Grønbaek,0da5076f
Samuel Edozie,007414dd
Samuel Amo-Ameyaw,9eedf0e0
Ronnie Edwards,be90c4b0
Carlos Alcaraz,4abac767
Joe O'Brien-Whitmarsh,fd1c27b8
Squad Total,
Opponent Total,
