name,id
Bruno Guimarães,82518f62
Dan Burn,b2d31e83
Anthony Gordon,2bd83368
Lewis Hall,da011f18
Alexander Isak,8e92be30
Joelinton,c17bfb65
Fabian Schär,c8aa95da
Valentino Livramento,afed6722
Jacob Murphy,de112b84
Sandro Tonali,0db169ae
Nick Pope,4b40d9ca
Martin Dúbravka,3a949a25
Joe Willock,a3b03921
Sean Longstaff,a2b105e0
Harvey Barnes,3ea50f67
Kieran Trippier,21512407
Lloyd Kelly,f31def1e
Sven Botman,ccce7025
Emil Krafth,77cf6852
Lewis Miley,2c6835e5
Miguel Almirón,862a1c15
Callum Wilson,c596fcb0
William Osula,7b355808
Matt Targett,e514ab62
Alex Murphy,f1c42eb3
John Ruddy,da8b19e2
Odisseas Vlachodimos,03df04ff
Squad Total,
Opponent Total,
