name,id
Emiliano Martínez,7956236f
Youri Tielemans,56f7a928
Morgan Rogers,2e5915f1
Ezri Konsa,0313a347
Lucas Digne,1b84dbe1
Ollie Watkins,aed3a70f
John McGinn,90f91999
Pau Torres,532e1e4f
Matty Cash,2389cdc2
Jacob Ramsey,1544f145
Amadou Onana,828657ff
Leon Bailey,3a233281
Boubacar Kamara,cc77354e
Diego Carlos,b4a014b1
Tyrone Mings,8397a50c
Lamare Bogarde,bca5c4a7
Jáder Durán,414184f7
Ian Maatsen,cab9634e
Andrés García,40498af1
Ross Barkley,3a24769f
Axel Disasi,ad82197c
Jaden Philogene Bidace,19f4d211
Marco Asensio,45af8a54
Marcus Rashford,a1d5bd30
Donyell Malen,116c35df
Kosta Nedeljković,c70be9cf
Emi Buendía,66b76d44
Robin Olsen,e7ee38c3
Benjamin Broggio,cdf9e86a
Joe Gauci,5600c774
Jamaldeen Jimoh,1e711234
Sil Swinkels,a42f6058
Kadan Young,91c75917
Oliwier Zych,be18d79f
Squad Total,
Opponent Total,
