name,id
Erling Haaland,1f44ac21
Joško Gvardiol,5ad50391
Bernardo Silva,3eb22ec9
Manuel Akanji,89ac64a6
Ederson,3bb7b8b4
Mateo Kovačić,79c0821a
Phil Foden,ed1e53f3
Rico Lewis,b57e066e
Sávio,fe6e7156
İlkay Gündoğan,819b3158
Rúben Dias,31c69ef1
Kevin De Bruyne,e46012d4
Jeremy Doku,fffea3e5
Matheus Nunes,e6af02e0
Kyle Walker,86dd77d1
Stefan Ortega,c1242d4e
Nathan Aké,eaeca114
Jack Grealish,b0b4fd3e
John Stones,5eecec3d
Abdukodir Khusanov,d17ce930
Omar Marmoush,0e0102eb
Nicolás González,2c56a792
Jahmai Simpson-Pusey,383b10fd
Rodri,6434f10d
James Mcatee,96593e89
Divin Mubama,92868cb5
Nico O’Reilly,91ca4a16
Max Alleyne,5383979b
Thorsten Brits,d5837248
Scott Carson,3e1550ee
Issa Kaboré,c066d1a5
Vitor Reis,c4ce0ab5
Josh Wilson-Esbrand,c19a2df1
Jacob Wright,b6db05c3
