General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alexis Sánchez,CHI,"FW,MF",33,1988,29.8,27,17,5,16,6,3,24,12.5,21,14,0,14,5,32,6,0
Amine Harit,MAR,"MF,FW",25,1997,5.7,6,4,0,3,3,3,8,37.5,5,4,1,3,4,10,6,0
Arkadiusz Milik,POL,FW,28,1994,1.4,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0
Azzedine Ounahi,MAR,"MF,FW",22,2000,1.3,2,1,1,1,0,0,2,0.0,2,1,0,1,0,2,0,0
Bamba Dieng,SEN,"FW,MF",22,2000,2.2,4,4,2,1,1,3,4,75.0,1,5,1,4,0,4,0,0
Cengiz Ünder,TUR,"MF,DF",25,1997,27.7,37,19,15,13,9,13,34,38.2,21,18,2,16,18,55,13,0
Chancel Mbemba,COD,DF,27,1994,31.7,43,26,24,17,2,22,31,71.0,9,25,12,13,42,85,89,0
Cédric Bakambu,COD,MF,31,1991,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0
Dimitri Payet,FRA,"MF,FW",35,1987,9.3,6,4,2,2,2,3,11,27.3,8,4,0,4,0,6,4,0
Duje Ćaleta-Car,CRO,DF,25,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Eric Bailly,CIV,DF,28,1994,6.0,13,10,6,6,1,7,7,100.0,0,15,12,3,12,25,18,1
François Mughe,CMR,MF,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gerson,BRA,MF,25,1997,4.6,6,4,1,4,1,3,5,60.0,2,5,0,5,2,8,4,0
Issa Kaboré,BFA,DF,21,2001,11.4,33,19,10,18,5,21,32,65.6,11,11,1,10,12,45,21,1
Jonathan Clauss,FRA,DF,29,1992,28.8,46,28,21,16,9,23,52,44.2,29,29,4,25,31,77,40,2
Jordan Veretout,FRA,MF,29,1993,31.8,56,35,17,32,7,25,53,47.2,28,22,7,15,36,92,40,2
Leonardo Balerdi,ARG,DF,23,1999,29.3,57,37,43,12,2,32,45,71.1,13,48,29,19,63,120,91,1
Luis Javier Suárez,COL,FW,24,1997,3.3,4,1,1,2,1,1,4,25.0,3,1,0,1,3,7,6,0
Mattéo Guendouzi,FRA,MF,23,1999,23.4,39,18,9,21,9,14,38,36.8,24,12,5,7,21,60,18,0
Nuno Tavares,POR,"DF,MF",22,2000,26.1,56,30,19,24,13,28,56,50.0,28,32,4,28,15,71,25,0
Pape Gueye,SEN,"MF,DF",23,1999,5.5,18,7,10,7,1,7,15,46.7,8,9,2,7,9,27,2,0
Pau López,ESP,GK,27,1994,32.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1
Rubén Blanco,ESP,GK,27,1995,5.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,13.6,21,11,3,12,6,10,26,38.5,16,13,1,12,3,24,9,0
Salim Ben Seghir,FRA,MF,19,2003,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Samuel Gigot,FRA,DF,28,1993,20.9,46,24,22,21,3,12,15,80.0,3,24,7,17,45,91,85,1
Sead Kolašinac,BIH,DF,29,1993,24.6,52,36,24,22,6,24,37,64.9,13,19,2,17,43,95,35,1
Souleymane Touré,FRA,DF,19,2003,0.8,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,5,0
Valentin Rongier,FRA,MF,27,1994,33.7,93,59,33,47,13,41,77,53.2,36,50,11,39,54,147,38,1
Vitinha,POR,FW,22,2000,5.2,15,7,0,6,9,3,11,27.3,8,3,0,3,2,17,6,0
