General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alexis Sánchez,CHI,"FW,MF",33,1988,29.8,1234,7,69,513,663,145,1231,82,43,52.4,32,39.0,950,4916,1398,42,24,20,85,62,961,232
Amine Harit,MAR,"MF,FW",25,1997,5.7,341,10,33,139,176,30,341,36,13,36.1,18,50.0,284,1842,791,19,13,9,18,17,273,54
Arkadiusz Milik,POL,FW,28,1994,1.4,47,3,5,27,15,1,47,1,0,0.0,1,100.0,33,171,53,1,3,0,1,1,36,9
Azzedine Ounahi,MAR,"MF,FW",22,2000,1.3,110,0,8,59,45,3,110,8,6,75.0,1,12.5,99,650,256,6,5,1,2,5,92,8
Bamba Dieng,SEN,"FW,MF",22,2000,2.2,76,1,4,39,34,15,76,3,2,66.7,1,33.3,54,303,112,5,1,2,7,4,58,23
Cengiz Ünder,TUR,"MF,DF",25,1997,27.7,1440,18,139,528,792,130,1439,96,39,40.6,50,52.1,1070,6465,2493,69,47,30,60,31,985,262
Chancel Mbemba,COD,DF,27,1994,31.7,2042,171,669,1043,339,45,2042,24,14,58.3,5,20.8,1496,8249,4441,47,66,10,24,10,1374,49
Cédric Bakambu,COD,MF,31,1991,0.7,33,0,6,15,12,3,33,2,0,0.0,2,100.0,22,135,59,1,3,1,2,1,20,4
Dimitri Payet,FRA,"MF,FW",35,1987,9.3,605,6,53,239,321,39,604,32,18,56.3,11,34.4,474,2613,1242,22,17,7,15,9,459,84
Duje Ćaleta-Car,CRO,DF,25,1996,0.1,3,1,2,1,0,0,3,0,0,,0,,2,5,3,0,0,0,0,0,2,0
Eric Bailly,CIV,DF,28,1994,6.0,357,40,159,181,20,10,357,4,2,50.0,2,50.0,218,1355,619,4,2,0,8,3,182,4
François Mughe,CMR,MF,18,2004,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Gerson,BRA,MF,25,1997,4.6,244,4,31,113,103,11,244,7,2,28.6,3,42.9,199,1052,408,9,7,3,14,15,199,29
Issa Kaboré,BFA,DF,21,2001,11.4,734,29,155,290,299,39,734,54,23,42.6,23,42.6,510,3205,1531,39,27,10,33,13,464,130
Jonathan Clauss,FRA,DF,29,1992,28.8,1757,57,326,737,720,114,1757,63,32,50.8,27,42.9,1215,6722,3314,83,51,22,47,16,1081,240
Jordan Veretout,FRA,MF,29,1993,31.8,2376,89,399,1489,511,33,2375,18,12,66.7,5,27.8,1860,10525,4999,59,62,6,28,13,1702,73
Leonardo Balerdi,ARG,DF,23,1999,29.3,1997,223,869,1027,113,16,1997,14,9,64.3,4,28.6,1413,8306,4291,15,19,0,23,3,1232,19
Luis Javier Suárez,COL,FW,24,1997,3.3,119,7,15,53,53,20,119,4,4,100.0,0,0.0,78,440,181,5,5,0,7,1,80,17
Mattéo Guendouzi,FRA,MF,23,1999,23.4,1441,32,193,817,455,63,1440,29,14,48.3,11,37.9,1165,7373,3862,50,61,9,25,14,1074,100
Nuno Tavares,POR,"DF,MF",22,2000,26.1,1779,45,361,685,765,88,1779,139,55,39.6,74,53.2,1213,8076,3913,96,68,19,75,67,1114,245
Pape Gueye,SEN,"MF,DF",23,1999,5.5,388,9,72,246,73,7,388,7,1,14.3,4,57.1,297,1687,881,9,4,1,7,6,271,13
Pau López,ESP,GK,27,1994,32.5,1174,750,1137,37,0,0,1174,0,0,,0,,880,4606,2729,0,0,0,0,0,635,0
Rubén Blanco,ESP,GK,27,1995,5.5,216,169,216,0,0,0,216,0,0,,0,,167,888,490,0,0,0,0,0,119,0
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,13.6,698,12,80,311,323,26,698,42,27,64.3,13,31.0,533,3349,1583,35,30,5,30,20,509,81
Salim Ben Seghir,FRA,MF,19,2003,0.0,4,0,0,2,2,0,4,0,0,,0,,3,13,6,0,0,0,1,2,3,0
Samuel Gigot,FRA,DF,28,1993,20.9,1374,159,573,704,107,30,1374,9,4,44.4,4,44.4,938,5796,3346,33,29,0,11,3,855,19
Sead Kolašinac,BIH,DF,29,1993,24.6,1547,67,408,831,322,48,1547,12,3,25.0,7,58.3,1140,6231,3393,49,37,6,25,6,994,86
Souleymane Touré,FRA,DF,19,2003,0.8,49,6,23,25,2,0,49,1,0,0.0,1,100.0,31,161,45,1,0,0,1,0,29,1
Valentin Rongier,FRA,MF,27,1994,33.7,2455,86,506,1464,505,41,2455,45,29,64.4,15,33.3,1889,11394,5460,57,52,9,31,30,1709,72
Vitinha,POR,FW,22,2000,5.2,198,6,14,82,107,42,198,11,5,45.5,6,54.5,133,615,191,3,6,2,18,8,121,41
