General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Alexis Sánchez,CHI,"FW,MF",33,1988,29.8,3,0,0,44,46,28,37,5,17,1,0,0,83,35,70,33.3
Amine Harit,MAR,"MF,FW",25,1997,5.7,1,0,0,2,13,2,16,4,4,0,0,0,27,1,12,7.7
Arkadiusz Milik,POL,FW,28,1994,1.4,1,0,0,4,1,1,0,0,1,0,0,0,4,2,7,22.2
Azzedine Ounahi,MAR,"MF,FW",22,2000,1.3,0,0,0,1,3,0,0,0,1,0,0,0,8,0,5,0.0
Bamba Dieng,SEN,"FW,MF",22,2000,2.2,1,0,0,8,6,1,1,0,4,1,0,0,7,9,10,47.4
Cengiz Ünder,TUR,"MF,DF",25,1997,27.7,3,0,0,29,31,8,157,18,19,0,0,0,133,11,19,36.7
Chancel Mbemba,COD,DF,27,1994,31.7,2,0,0,19,19,0,40,42,26,1,0,0,165,72,35,67.3
Cédric Bakambu,COD,MF,31,1991,0.7,0,0,0,2,1,0,1,0,1,0,0,0,5,4,3,57.1
Dimitri Payet,FRA,"MF,FW",35,1987,9.3,0,0,0,5,19,2,58,0,4,0,0,0,46,5,5,50.0
Duje Ćaleta-Car,CRO,DF,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Eric Bailly,CIV,DF,28,1994,6.0,1,0,0,10,5,0,0,12,10,0,0,0,42,15,15,50.0
François Mughe,CMR,MF,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Gerson,BRA,MF,25,1997,4.6,1,0,0,16,16,1,3,2,4,0,0,0,20,8,6,57.1
Issa Kaboré,BFA,DF,21,2001,11.4,1,0,0,24,19,2,48,12,19,0,0,0,62,3,7,30.0
Jonathan Clauss,FRA,DF,29,1992,28.8,1,0,0,25,12,3,110,31,28,0,1,0,180,10,17,37.0
Jordan Veretout,FRA,MF,29,1993,31.8,4,0,0,35,24,2,83,36,35,0,0,1,243,20,26,43.5
Leonardo Balerdi,ARG,DF,23,1999,29.3,9,1,0,53,21,0,6,63,37,0,1,1,204,70,41,63.1
Luis Javier Suárez,COL,FW,24,1997,3.3,1,0,0,6,5,0,0,3,1,0,0,0,5,6,17,26.1
Mattéo Guendouzi,FRA,MF,23,1999,23.4,3,0,0,25,37,1,24,21,18,0,0,1,147,23,29,44.2
Nuno Tavares,POR,"DF,MF",22,2000,26.1,6,1,0,37,38,6,96,15,30,0,0,0,173,23,31,42.6
Pape Gueye,SEN,"MF,DF",23,1999,5.5,1,0,0,10,12,1,3,9,7,0,0,0,42,11,5,68.8
Pau López,ESP,GK,27,1994,32.5,3,0,0,2,6,0,0,0,0,0,2,0,46,5,2,71.4
Rubén Blanco,ESP,GK,27,1995,5.5,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100.0
Ruslan Malinovskyi,UKR,"MF,FW",29,1993,13.6,4,0,0,29,18,1,38,3,11,0,0,0,73,15,24,38.5
Salim Ben Seghir,FRA,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Samuel Gigot,FRA,DF,28,1993,20.9,5,2,1,44,14,1,1,45,24,0,1,0,103,56,17,76.7
Sead Kolašinac,BIH,DF,29,1993,24.6,3,0,0,42,15,4,20,43,36,0,0,0,165,36,37,49.3
Souleymane Touré,FRA,DF,19,2003,0.8,1,0,0,2,0,0,0,0,1,0,0,0,5,1,0,100.0
Valentin Rongier,FRA,MF,27,1994,33.7,8,0,0,52,29,0,8,54,59,0,0,0,267,43,30,58.9
Vitinha,POR,FW,22,2000,5.2,0,0,0,7,8,4,1,2,7,0,0,0,27,5,13,27.8
