name,position,id
Morgan Gibbs-White,"MF,FW",32f60ed8
Brennan Johnson,"FW,MF",0cd31129
Renan Lodi,DF,ed9f7cfe
Remo Freuler,MF,98d2c2c4
Serge Aurier,DF,5c2b4f07
Joe Worrall,DF,a5212312
Ryan Yates,MF,c1fe2a48
Neco Williams,DF,dd323728
Orel Mangala,MF,a572e291
Scott McKenna,DF,4e5a4cbc
Dean Henderson,GK,e5a76dfe
Keylor Navas,GK,ecada4fc
Taiwo Awoniyi,FW,e5478b87
Felipe,DF,51a3c4c8
Moussa Niakhate,DF,00242715
Danilo,MF,a816dbfb
Jesse Lingard,"FW,MF",810e3c74
Steve Cook,DF,3e5e4e63
Cheikhou Kouyaté,MF,8d3c902d
Harry Toffolo,DF,a105d46a
Willy Boly,DF,a4ac4b8f
Emmanuel Dennis,"FW,MF",2c44a35d
Lewis O'Brien,MF,089667a5
Jonjo Shelvey,MF,3727dd3c
Chris Wood,FW,4e9a0555
Jack Colback,MF,963a9201
Wayne Hennessey,GK,76eca7e2
Gustavo Scarpa,"MF,FW",2964fd20
Sam Surridge,FW,b017b770
André Ayew,"FW,MF",5dbefa9d
Giulian Biancone,DF,de40e38c
Alex Mighten,FW,10ec4169
Cafú,MF,85322440
Loïc Bade,DF,114bbdee
Oliver Hammond,MF,3766178e
Loïc Mbe Soh,DF,8f534f8e
George Shelvey,GK,5ab61aea
Jordan Smith,GK,cfca9c4e
Dale Taylor,"FW,MF",d5094280
Lyle Taylor,FW,3e80e04e
