name,position,id
Jefferson Lerma,MF,9b5ce51a
Adam Smith,DF,20b104bc
Philip Billing,"MF,FW",d328a254
Dominic Solanke,"FW,MF",e77dc3b2
Marcos Senesi,DF,35141f4c
Neto,GK,a9dc785c
Chris Mepham,DF,fed96827
Lloyd Kelly,DF,f31def1e
Ryan Christie,"MF,FW",26ce2263
Marcus Tavernier,"MF,FW",5c0da4a4
Lewis Cook,MF,2afc7272
Jordan Zemura,DF,e8271ad9
Dango Ouattara,"MF,FW",2f9e4435
Jack Stephens,DF,6adbc307
Kieffer Moore,FW,01ce9e70
Joe Rothwell,MF,10a10454
Jaidon Anthony,"MF,FW",e4238fb1
Mark Travers,GK,fe558029
Ryan Fredericks,DF,c067631c
Matías Viña,DF,08eb3b58
Hamed Junior Traorè,"FW,MF",570bb4b9
Jack Stacey,DF,558807c0
Illia Zabarnyi,DF,88968486
Ben Pearson,MF,a6b461e7
Antoine Semenyo,"FW,MF",efd2ec23
David Brooks,"FW,MF",dc4cae05
Siriki Dembélé,"FW,MF",11f54bd5
Junior Stanislas,MF,6992791d
Jamal Lowe,"MF,FW",b2856bc0
Owen Bevan,DF,87966294
Emiliano Marcondes,MF,4d960fc3
Daniel Adu-Adjei,FW,2093823e
Michael DaCosta,FW,c1426015
Will Dennis,GK,d8edc4be
Ben Greenwood,DF,7eda24fe
James Hill,DF,69942fb3
Cameron Plain,GK,8c45f10e
Euan Pollock,FW,ea0271ee
Darren Randolph,GK,6385ebfb
Dominic Sadi,MF,54778940
Christian Saydee,FW,af102dc3
Maxwell Wellings,DF,ed46ab76
