General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Alphonso Davies,CAN,DF,21,2000,22.7,0,0,0,9,26,3,25,24,28,0,0,0,199,6,6,50.0
Arijon Ibrahimović,GER,MF,16,2005,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,100.0
Benjamin Pavard,FRA,DF,26,1996,27.0,6,0,0,28,17,5,45,44,41,0,3,0,153,64,33,66.0
Bouna Sarr,SEN,FW,30,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daley Blind,NED,"DF,MF",32,1990,1.5,0,0,0,1,0,0,1,2,0,0,0,0,7,2,1,66.7
Dayot Upamecano,FRA,DF,23,1998,26.1,6,1,0,30,14,1,2,27,37,0,1,0,212,47,47,50.0
Eric Maxim Choupo-Moting,CMR,FW,33,1989,12.4,0,0,0,4,7,11,3,0,7,0,0,0,28,18,21,46.2
Gabriel Vidovic,CRO,FW,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.0
Jamal Musiala,GER,"MF,FW",19,2003,24.4,1,0,0,23,43,1,11,19,23,1,0,0,144,12,12,50.0
Joshua Kimmich,GER,MF,27,1995,31.2,6,1,1,22,51,0,240,41,49,0,0,0,262,16,32,33.3
Josip Stanišić,CRO,DF,22,2000,6.4,1,0,0,5,3,0,8,7,11,0,0,0,33,6,3,66.7
João Cancelo,POR,"DF,FW",28,1994,11.2,3,0,0,10,15,3,35,15,14,0,0,0,84,16,12,57.1
Kingsley Coman,FRA,"FW,MF",26,1996,15.7,2,1,1,9,21,5,74,2,8,1,0,0,71,11,10,52.4
Leon Goretzka,GER,MF,27,1995,19.2,5,0,0,23,19,3,10,30,24,0,0,0,140,46,23,66.7
Leroy Sané,GER,"MF,FW",26,1996,22.3,4,0,0,17,23,7,16,3,30,0,0,0,115,6,7,46.2
Lucas Hernández,FRA,DF,26,1996,5.3,1,0,0,4,4,0,2,5,4,0,0,0,33,4,2,66.7
Manuel Neuer,GER,GK,36,1986,12.0,0,0,0,0,1,0,0,0,0,0,0,0,21,3,0,100.0
Marcel Sabitzer,AUT,MF,28,1994,7.0,2,0,0,7,1,1,5,10,14,0,0,0,47,8,11,42.1
Mathys Tel,FRA,FW,17,2005,4.6,2,0,0,9,6,4,4,0,2,0,0,0,16,8,11,42.1
Matthijs de Ligt,NED,DF,22,1999,26.7,4,0,0,19,17,2,2,23,23,0,2,0,165,96,64,60.0
Noussair Mazraoui,MAR,DF,24,1997,11.9,0,0,0,16,11,3,22,10,21,0,1,0,46,17,16,51.5
Paul Wanner,GER,MF,16,2005,0.3,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,100.0
Ryan Gravenberch,NED,MF,20,2002,6.4,1,0,0,9,7,0,6,9,8,0,0,0,57,4,6,40.0
Sadio Mané,SEN,"FW,MF",30,1992,15.8,2,0,0,16,24,21,22,0,5,1,0,0,42,22,18,55.0
Serge Gnabry,GER,"FW,MF",27,1995,21.6,0,0,0,33,10,9,39,11,23,2,2,0,91,11,19,36.7
Sven Ulreich,GER,GK,33,1988,3.0,1,0,0,1,1,0,0,0,1,0,1,0,5,0,0,
Thomas Müller,GER,"FW,MF",32,1989,18.5,0,0,0,9,11,5,31,4,12,0,0,0,70,39,24,61.9
Yann Sommer,SUI,GK,33,1988,19.0,1,0,0,1,2,0,0,1,0,0,0,0,39,6,2,75.0
