General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Alphonso Davies,CAN,DF,21,2000,22.7,1361,1567,86.9,21727,5882,721,786,91.7,542,600,90.3,76,116,65.5,4,3.7,4.3,0.3,44,110,39,5,133
Arijon Ibrahimović,GER,MF,16,2005,0.2,7,8,87.5,120,9,4,4,100.0,2,3,66.7,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,0
Benjamin Pavard,FRA,DF,26,1996,27.0,2120,2400,88.3,37520,14296,867,940,92.2,1064,1162,91.6,155,231,67.1,1,2.4,3.9,-1.4,19,184,21,9,202
Bouna Sarr,SEN,FW,30,1992,0.0,1,2,50.0,17,3,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Daley Blind,NED,"DF,MF",32,1990,1.5,87,100,87.0,1659,659,30,33,90.9,50,55,90.9,7,9,77.8,0,0.1,0.3,-0.1,2,8,1,0,10
Dayot Upamecano,FRA,DF,23,1998,26.1,2101,2318,90.6,42619,15514,596,641,93.0,1250,1315,95.1,246,333,73.9,1,0.3,1.0,0.7,6,205,6,0,169
Eric Maxim Choupo-Moting,CMR,FW,33,1989,12.4,223,290,76.9,2934,827,137,167,82.0,55,66,83.3,10,16,62.5,2,1.9,2.1,0.1,16,23,12,1,43
Gabriel Vidovic,CRO,FW,18,2003,0.2,10,13,76.9,102,23,7,8,87.5,2,3,66.7,0,0,,1,0.1,0.1,0.9,2,0,1,0,1
Jamal Musiala,GER,"MF,FW",19,2003,24.4,857,1018,84.2,12410,2603,490,553,88.6,303,332,91.3,31,47,66.0,10,6.6,5.4,3.4,52,67,37,3,124
Joshua Kimmich,GER,MF,27,1995,31.2,2333,2767,84.3,43859,14050,954,1017,93.8,1036,1151,90.0,306,512,59.8,6,7.0,9.0,-1.0,84,272,68,4,315
Josip Stanišić,CRO,DF,22,2000,6.4,577,633,91.2,9398,2772,294,312,94.2,238,253,94.1,38,55,69.1,0,0.4,0.7,-0.4,4,43,11,3,66
João Cancelo,POR,"DF,FW",28,1994,11.2,713,861,82.8,11505,3272,401,430,93.3,254,308,82.5,49,87,56.3,4,2.3,2.8,1.7,13,55,21,6,61
Kingsley Coman,FRA,"FW,MF",26,1996,15.7,640,806,79.4,10106,2128,359,406,88.4,218,269,81.0,48,78,61.5,5,5.5,6.5,-0.5,42,26,44,17,70
Leon Goretzka,GER,MF,27,1995,19.2,826,1012,81.6,12312,3833,455,515,88.3,290,354,81.9,45,72,62.5,2,2.3,2.5,-0.3,21,80,19,0,114
Leroy Sané,GER,"MF,FW",26,1996,22.3,880,1078,81.6,12202,3032,533,614,86.8,264,311,84.9,43,69,62.3,7,4.3,5.1,2.7,35,58,47,1,134
Lucas Hernández,FRA,DF,26,1996,5.3,337,377,89.4,6346,2535,133,140,95.0,153,170,90.0,43,51,84.3,0,0.2,0.1,-0.2,1,29,2,0,34
Manuel Neuer,GER,GK,36,1986,12.0,449,504,89.1,10571,7280,96,96,100.0,234,238,98.3,118,169,69.8,0,0.0,0.0,0.0,0,1,0,0,1
Marcel Sabitzer,AUT,MF,28,1994,7.0,402,466,86.3,6205,1668,210,230,91.3,159,181,87.8,19,32,59.4,1,0.4,0.6,0.6,6,36,5,0,52
Mathys Tel,FRA,FW,17,2005,4.6,126,157,80.3,1824,257,72,83,86.7,48,57,84.2,4,4,100.0,0,0.7,0.4,-0.7,6,7,5,3,11
Matthijs de Ligt,NED,DF,22,1999,26.7,1902,2088,91.1,36626,12291,619,660,93.8,1114,1178,94.6,162,216,75.0,1,0.5,0.8,0.5,6,155,6,1,143
Noussair Mazraoui,MAR,DF,24,1997,11.9,738,867,85.1,10684,3976,432,475,90.9,264,301,87.7,24,44,54.5,4,1.9,1.7,2.1,19,58,19,3,99
Paul Wanner,GER,MF,16,2005,0.3,7,9,77.8,86,27,4,5,80.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,0,1
Ryan Gravenberch,NED,MF,20,2002,6.4,326,373,87.4,4941,1234,182,202,90.1,119,130,91.5,16,20,80.0,0,0.5,0.8,-0.5,8,34,9,0,44
Sadio Mané,SEN,"FW,MF",30,1992,15.8,307,418,73.4,4444,1192,185,222,83.3,98,118,83.1,15,23,65.2,5,3.9,3.6,1.1,24,17,30,5,43
Serge Gnabry,GER,"FW,MF",27,1995,21.6,693,873,79.4,9720,2515,443,516,85.9,193,229,84.3,37,68,54.4,5,5.3,4.8,-0.3,36,49,33,5,82
Sven Ulreich,GER,GK,33,1988,3.0,110,131,84.0,2282,1531,41,41,100.0,53,54,98.1,16,35,45.7,0,0.0,0.0,0.0,0,0,0,0,0
Thomas Müller,GER,"FW,MF",32,1989,18.5,621,831,74.7,8689,2465,351,417,84.2,214,281,76.2,22,52,42.3,8,6.6,7.1,1.4,40,39,37,4,88
Yann Sommer,SUI,GK,33,1988,19.0,650,749,86.8,14570,9520,165,165,100.0,360,366,98.4,122,213,57.3,0,0.0,0.0,0.0,0,5,0,0,1
