General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Alberto Marí,ESP,"FW,MF",21,2001,1.0,20,20,0,0,0,0,0,0,0,0,0,0,8,0,0
Carlos Soler,ESP,MF,25,1997,2.7,123,102,21,9,0,1,16,0,11,5,5,0,92,0,3
Cenk Özkacar,TUR,DF,21,2000,15.2,769,744,23,18,0,16,3,2,0,0,0,0,646,2,8
Cristhian Mosquera,ESP,DF,18,2004,1.6,65,46,19,0,0,0,1,18,0,0,0,0,53,0,0
Diego López,ESP,"FW,MF",20,2002,5.0,151,149,1,1,2,1,12,0,0,0,0,0,101,1,7
Dimitri Foulquier,FRA,DF,29,1993,19.3,932,712,217,22,0,2,86,194,1,0,0,0,663,3,37
Domingos André Ribeiro Almeida,POR,MF,22,2000,28.2,1402,1226,164,72,7,12,127,13,63,22,17,0,1110,12,18
Edinson Cavani,URU,FW,35,1987,16.1,354,325,26,0,4,4,3,0,0,0,0,0,263,3,7
Eray Cömert,SUI,DF,24,1998,18.6,945,890,53,44,0,24,1,0,0,0,0,0,815,2,6
Francisco Perez,ESP,"FW,MF",19,2002,1.6,77,73,3,0,0,1,8,3,0,0,0,0,59,1,2
Gabriel Paulista,BRA,DF,31,1990,16.7,769,705,62,36,0,10,0,6,0,0,0,0,645,2,4
Giorgi Mamardashvili,GEO,GK,21,2000,38.0,1086,740,342,103,0,3,0,0,0,0,0,0,697,4,1
Hugo Duro,ESP,FW,22,1999,15.4,277,248,27,2,0,3,2,1,0,0,0,0,203,2,9
Hugo Guillamón,ESP,MF,22,2000,18.1,1028,932,88,69,4,18,32,1,16,2,13,0,852,8,14
Ilaix Moriba,GUI,MF,19,2003,11.2,501,491,8,4,4,3,4,3,0,0,0,0,403,2,10
Javier Guerra,ESP,MF,19,2003,6.7,239,233,3,3,0,4,8,0,0,0,0,0,188,3,4
Jesus Vazquez,ESP,"DF,MF",19,2003,3.4,171,138,33,0,1,0,11,33,0,0,0,0,142,0,5
José Luis Gayà,ESP,DF,27,1995,30.1,1734,1344,378,51,2,13,213,285,42,9,25,0,1284,12,39
Justin Kluivert,NED,"FW,MF",23,1999,16.1,399,345,49,8,0,2,64,6,31,5,10,0,276,5,12
Marcos André,BRA,"FW,MF",25,1996,5.0,64,58,6,0,1,1,1,0,0,0,0,0,43,0,1
Maxi Gómez,URU,FW,25,1996,1.2,14,13,1,0,0,0,0,0,0,0,0,0,9,0,0
Mouctar Diakhaby,GUI,DF,25,1996,27.2,1185,1141,42,37,0,12,1,1,0,0,0,0,971,2,6
Nicolás González,ESP,MF,20,2002,15.6,778,748,28,26,2,5,3,1,0,0,0,0,676,2,8
Samu Castillejo,ESP,"FW,MF",27,1995,15.1,622,551,68,19,2,6,87,8,40,21,10,0,474,3,15
Samuel Lino,BRA,"FW,MF",22,1999,32.1,1163,1121,37,5,5,2,82,22,10,1,2,0,878,5,57
Thierry Correia,POR,DF,23,1999,22.3,1363,1136,224,28,1,7,87,196,0,0,0,0,1047,3,34
Toni Lato,ESP,"DF,MF",24,1997,10.2,490,417,72,10,1,3,32,50,12,2,6,0,390,1,9
Yunus Musah,USA,MF,19,2002,23.4,771,757,12,3,3,11,40,9,0,0,0,0,604,2,29
