General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Alberto Marí,ESP,"FW,MF",21,2001,5,86,17,2.5,1.0,0,,0,5,17,6,1.6,2,0,2,2.09,2.23,1.2,0.3,0.9,0.92,0.79
Carlos Soler,ESP,MF,25,1997,3,242,81,7.1,2.7,3,81,2,0,,0,1.0,1,2,-1,-0.37,-0.32,2.7,2.6,0.1,0.03,-0.14
Cenk Özkacar,TUR,DF,21,2000,17,1365,80,39.9,15.2,14,87,13,3,50,19,1.24,13,18,-5,-0.33,-0.42,19.3,18.0,1.3,0.08,-0.12
Charlie Perez,ESP,GK,20,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Cristhian Mosquera,ESP,DF,18,2004,3,145,48,4.2,1.6,1,90,1,2,28,28,2.0,0,2,-2,-1.24,-1.21,1.7,1.6,0.1,0.05,-0.1
Cristian,ESP,GK,24,1998,0,,,,,0,,0,0,,26,,,,,,,,,,,
Diego López,ESP,"FW,MF",20,2002,10,447,45,13.1,5.0,5,68,0,5,22,0,1.5,6,6,0,0.0,0.09,8.5,3.5,5.0,1.01,0.98
Dimitri Foulquier,FRA,DF,29,1993,30,1738,58,50.8,19.3,17,88,15,13,19,8,1.17,17,24,-7,-0.36,-0.58,19.8,25.3,-5.5,-0.28,-0.89
Domingos André Ribeiro Almeida,POR,MF,22,2000,34,2539,75,74.2,28.2,29,84,14,5,23,2,1.15,30,32,-2,-0.07,0.03,37.4,32.4,5.0,0.18,0.09
Edinson Cavani,URU,FW,35,1987,25,1449,58,42.4,16.1,20,69,4,5,14,1,0.88,18,15,3,0.19,0.46,19.3,17.9,1.5,0.09,-0.11
Emilio Bernard,ESP,GK,22,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Eray Cömert,SUI,DF,24,1998,23,1672,73,48.9,18.6,19,84,15,4,20,12,1.22,22,22,0,0.0,0.15,24.6,24.7,0.0,0.0,-0.3
Francisco Perez,ESP,"FW,MF",19,2002,7,141,20,4.1,1.6,0,,0,7,20,22,0.14,1,3,-2,-1.28,-1.25,1.3,2.3,-1.0,-0.62,-0.8
Gabriel Paulista,BRA,DF,31,1990,21,1504,72,44.0,16.7,18,82,13,3,9,8,1.24,20,24,-4,-0.24,-0.29,21.5,19.6,2.0,0.12,-0.07
Giorgi Mamardashvili,GEO,GK,21,2000,38,3420,90,100.0,38.0,38,90,38,0,,0,1.11,42,45,-3,-0.08,,49.3,43.5,5.8,0.15,
Hugo Duro,ESP,FW,22,1999,30,1385,46,40.5,15.4,12,75,6,18,27,5,1.13,16,20,-4,-0.26,-0.3,21.1,18.8,2.3,0.15,-0.01
Hugo Guillamón,ESP,MF,22,2000,25,1632,65,47.7,18.1,19,80,11,6,20,11,1.04,20,23,-3,-0.17,-0.17,19.9,21.2,-1.2,-0.07,-0.42
Iago Herrerín,ESP,GK,34,1988,0,,,,,0,,0,0,,26,,,,,,,,,,,
Ilaix Moriba,GUI,MF,19,2003,24,1011,42,29.6,11.2,10,76,3,14,18,5,1.13,10,16,-6,-0.53,-0.65,14.5,14.3,0.2,0.02,-0.19
Jaume Doménech,ESP,GK,31,1990,0,,,,,0,,0,0,,12,,,,,,,,,,,
Javier Guerra,ESP,MF,19,2003,10,605,61,17.7,6.7,6,88,5,4,20,7,1.5,7,6,1,0.15,0.28,9.6,5.2,4.3,0.64,0.6
Jesus Vazquez,ESP,"DF,MF",19,2003,10,310,31,9.1,3.4,3,74,1,7,12,27,0.8,1,5,-4,-1.16,-1.19,3.6,5.6,-2.0,-0.57,-0.79
Jesús Santiago,ESP,MF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
José Luis Gayà,ESP,DF,27,1995,31,2709,87,79.2,30.1,31,87,25,0,,1,1.06,32,37,-5,-0.17,-0.42,39.4,33.6,5.9,0.2,0.2
Justin Kluivert,NED,"FW,MF",23,1999,26,1447,56,42.3,16.1,15,78,3,11,25,1,1.0,22,21,1,0.06,0.24,26.6,19.0,7.6,0.47,0.55
Koba Koindredi,FRA,MF,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Manu Vallejo,ESP,"FW,MF",25,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Marcos André,BRA,"FW,MF",25,1996,17,447,26,13.1,5.0,3,52,0,14,21,5,0.76,9,7,2,0.4,0.55,7.3,7.6,-0.3,-0.06,-0.24
Mario Dominguez,ESP,MF,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Maxi Gómez,URU,FW,25,1996,3,108,36,3.2,1.2,0,,0,3,36,0,1.0,0,1,-1,-0.83,-0.78,0.8,1.0,-0.1,-0.12,-0.28
Mouctar Diakhaby,GUI,DF,25,1996,29,2446,84,71.5,27.2,28,86,24,1,36,4,1.14,32,29,3,0.11,0.66,35.5,27.7,7.8,0.29,0.47
Nicolás González,ESP,MF,20,2002,26,1405,54,41.1,15.6,18,68,3,8,22,0,1.35,22,21,1,0.06,0.24,23.4,18.2,5.2,0.33,0.3
Ruben Lendinez,ESP,DF,19,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Samu Castillejo,ESP,"FW,MF",27,1995,25,1362,54,39.8,15.1,17,70,3,8,21,4,0.88,14,15,-1,-0.07,0.02,17.8,14.0,3.8,0.25,0.16
Samuel Lino,BRA,"FW,MF",22,1999,38,2887,76,84.4,32.1,33,82,17,5,37,0,1.11,39,38,1,0.03,0.71,42.8,36.0,6.7,0.21,0.37
Thierry Correia,POR,DF,23,1999,27,2009,74,58.7,22.3,24,81,14,3,19,0,1.19,27,26,1,0.04,0.3,33.4,23.2,10.3,0.46,0.74
Tiago Ribeiro,POR,MF,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Toni Lato,ESP,"DF,MF",24,1997,24,914,38,26.7,10.2,9,70,0,15,19,9,1.29,12,11,1,0.1,0.24,11.2,12.2,-1.0,-0.1,-0.34
Uroš Račić,SRB,MF,24,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Yunus Musah,USA,MF,19,2002,33,2110,64,61.7,23.4,26,76,8,7,20,1,1.12,26,26,0,0.0,0.21,27.7,28.1,-0.4,-0.02,-0.45
