General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Alberto Marí,ESP,"FW,MF",21,2001,1.0,1,0,0,3,2,2,0,0,0,0,0,0,4,2,3,40.0
Carlos Soler,ESP,MF,25,1997,2.7,0,0,0,2,4,0,16,0,0,0,0,0,4,1,1,50.0
Cenk Özkacar,TUR,DF,21,2000,15.2,1,0,0,7,10,0,3,12,20,0,0,0,106,49,34,59.0
Cristhian Mosquera,ESP,DF,18,2004,1.6,0,0,0,0,1,0,1,1,2,0,0,0,8,3,2,60.0
Diego López,ESP,"FW,MF",20,2002,5.0,0,0,0,6,7,1,12,3,2,0,0,0,29,7,8,46.7
Dimitri Foulquier,FRA,DF,29,1993,19.3,4,0,0,28,14,1,86,14,19,0,0,0,111,18,19,48.6
Domingos André Ribeiro Almeida,POR,MF,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6
Edinson Cavani,URU,FW,35,1987,16.1,6,0,0,18,8,15,3,2,4,0,0,0,37,20,28,41.7
Eray Cömert,SUI,DF,24,1998,18.6,5,1,0,22,11,1,1,29,23,0,0,0,106,44,31,58.7
Francisco Perez,ESP,"FW,MF",19,2002,1.6,2,0,0,4,3,3,8,0,1,0,0,0,12,0,2,0.0
Gabriel Paulista,BRA,DF,31,1990,16.7,4,2,1,12,11,0,0,32,9,0,1,0,83,42,30,58.3
Giorgi Mamardashvili,GEO,GK,21,2000,38.0,3,0,0,1,3,0,0,1,0,0,1,0,61,8,1,88.9
Hugo Duro,ESP,FW,22,1999,15.4,5,0,0,20,35,3,2,2,12,0,0,0,37,32,61,34.4
Hugo Guillamón,ESP,MF,22,2000,18.1,5,0,0,35,34,0,32,19,12,0,2,1,96,20,20,50.0
Ilaix Moriba,GUI,MF,19,2003,11.2,6,2,1,32,33,0,4,4,16,0,0,0,75,25,26,49.0
Javier Guerra,ESP,MF,19,2003,6.7,0,0,0,13,7,0,8,11,13,0,0,0,43,6,8,42.9
Jesus Vazquez,ESP,"DF,MF",19,2003,3.4,1,0,0,4,5,0,11,1,8,0,0,0,22,2,4,33.3
José Luis Gayà,ESP,DF,27,1995,30.1,4,0,0,13,27,7,213,23,46,1,0,0,166,24,21,53.3
Justin Kluivert,NED,"FW,MF",23,1999,16.1,4,0,0,24,19,10,64,7,14,1,0,0,69,8,22,26.7
Marcos André,BRA,"FW,MF",25,1996,5.0,2,1,0,9,12,1,1,0,1,0,0,0,9,10,15,40.0
Maxi Gómez,URU,FW,25,1996,1.2,0,0,0,4,3,1,0,0,0,0,0,0,0,2,6,25.0
Mouctar Diakhaby,GUI,DF,25,1996,27.2,7,1,1,23,13,4,1,20,16,0,0,0,149,48,40,54.5
Nicolás González,ESP,MF,20,2002,15.6,2,0,0,33,13,0,3,19,15,0,1,1,95,27,15,64.3
Samu Castillejo,ESP,"FW,MF",27,1995,15.1,7,0,0,32,40,7,87,9,12,0,0,0,66,7,19,26.9
Samuel Lino,BRA,"FW,MF",22,1999,32.1,4,0,0,35,60,15,82,18,43,2,0,0,170,17,41,29.3
Thierry Correia,POR,DF,23,1999,22.3,5,0,0,39,44,1,87,24,52,2,0,0,149,24,20,54.5
Toni Lato,ESP,"DF,MF",24,1997,10.2,1,0,0,12,9,4,32,6,11,0,0,0,50,4,19,17.4
Yunus Musah,USA,MF,19,2002,23.4,10,1,0,42,42,3,40,11,35,0,0,0,97,28,36,43.8
