General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Andrea Belotti,ITA,FW,28,1993,12.7,12,5,3,5,4,5,11,45.5,6,11,1,10,3,15,5,0
Benjamin Tahirovic,BIH,MF,19,2003,3.9,8,5,5,2,1,4,12,33.3,8,9,4,5,3,11,3,0
Bryan Cristante,ITA,"MF,DF",27,1995,32.6,113,62,55,49,9,55,90,61.1,35,39,10,29,18,131,53,0
Chris Smalling,ENG,DF,32,1989,31.2,26,15,16,10,0,13,21,61.9,8,51,36,15,43,69,123,0
Cristian Volpato,ITA,MF,18,2003,2.5,3,2,1,1,1,0,2,0.0,2,2,0,2,2,5,0,0
Diego Llorente,ESP,DF,28,1993,6.4,10,5,6,4,0,5,12,41.7,7,4,2,2,11,21,20,0
Edoardo Bove,ITA,MF,20,2002,11.0,35,18,12,15,8,16,39,41.0,23,15,1,14,10,45,11,0
Eldor Shomurodov,UZB,FW,27,1995,1.3,1,0,1,0,0,0,2,0.0,2,1,0,1,1,2,0,0
Filippo Missori,ITA,DF,18,2004,2.0,4,3,3,0,1,3,6,50.0,3,0,0,0,3,7,5,0
Georginio Wijnaldum,NED,MF,31,1990,8.5,4,3,1,3,0,0,2,0.0,2,7,1,6,2,6,3,0
Gianluca Mancini,ITA,DF,26,1996,31.8,37,19,27,9,1,18,34,52.9,16,38,17,21,46,83,67,0
Jordan Majchrzak,POL,FW,17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Leonardo Spinazzola,ITA,DF,29,1993,18.4,15,8,7,6,2,8,23,34.8,15,13,3,10,9,24,25,0
Lorenzo Pellegrini,ITA,MF,26,1996,28.3,52,29,24,24,4,22,48,45.8,26,27,4,23,26,78,22,0
Marash Kumbulla,ALB,DF,22,2000,2.9,4,4,2,2,0,2,3,66.7,1,2,1,1,4,8,6,0
Matías Viña,URU,DF,24,1997,0.6,3,1,1,1,1,1,3,33.3,2,5,1,4,2,5,5,0
Mile Svilar,SRB,GK,22,1999,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mohamed Camara,GUI,MF,25,1997,7.7,13,10,3,7,3,5,15,33.3,10,5,1,4,10,23,8,0
Nemanja Matić,SRB,MF,33,1988,20.6,47,27,24,19,4,19,33,57.6,14,27,7,20,25,72,21,1
Niccolò Pisilli,ITA,MF,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Nicola Zalewski,POL,DF,20,2002,24.4,45,26,25,15,5,22,71,31.0,49,27,1,26,31,76,23,0
Nicolò Zaniolo,ITA,"MF,FW",23,1999,9.9,7,5,2,4,1,2,7,28.6,5,11,0,11,2,9,0,0
Ola Solbakken,NOR,"MF,FW",23,1998,5.6,2,2,1,1,0,2,7,28.6,5,2,0,2,2,4,8,0
Paulo Dybala,ARG,"MF,FW",28,1993,19.3,14,4,1,8,5,8,26,30.8,18,12,1,11,8,22,4,0
Rick Karsdorp,NED,DF,27,1995,7.9,21,13,11,7,3,13,22,59.1,9,0,0,0,7,28,15,1
Roger Ibanez,BRA,DF,23,1998,31.1,67,33,38,26,3,32,48,66.7,16,30,11,19,66,133,95,2
Rui Patrício,POR,GK,34,1988,35.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,6,3
Stephan El Shaarawy,ITA,"DF,MF",29,1992,16.9,21,9,8,10,3,6,22,27.3,16,11,1,10,15,36,11,0
Tammy Abraham,ENG,FW,24,1997,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0
Zeki Çelik,TUR,DF,25,1997,16.7,42,21,19,21,2,24,41,58.5,17,33,6,27,14,56,36,2
