General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Adam Armstrong,ENG,"FW,MF",25,1997,14.8,24,1.62,19,0,2,1,1,1,2,0.13,1,0,0,0,0,1
Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,15.6,24,1.54,22,0,1,0,1,0,2,0.13,1,0,0,0,1,0
Alex McCarthy,ENG,GK,32,1989,6.0,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Armel Bella Kotchap,GER,DF,20,2001,20.9,14,0.67,7,0,1,3,2,1,2,0.1,1,0,0,1,0,0
Carlos Alcaraz,ARG,"MF,FW",19,2002,11.4,22,1.92,14,0,2,3,2,1,4,0.35,3,0,0,1,0,0
Che Adams,SCO,FW,26,1996,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
Dominic Ballard,ENG,"FW,MF",17,2005,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Duje Ćaleta-Car,CRO,DF,25,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Gavin Bazunu,IRL,GK,20,2002,32.0,7,0.22,5,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Ibrahima Diallo,FRA,MF,23,1999,9.1,10,1.1,8,0,1,0,0,1,0,0.0,0,0,0,0,0,0
Jack Stephens,ENG,DF,28,1994,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
James Bree,ENG,DF,24,1997,4.1,6,1.47,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
James Ward-Prowse,ENG,MF,27,1994,37.5,127,3.39,62,59,1,3,1,1,9,0.24,3,3,1,2,0,0
Jan Bednarek,POL,DF,26,1996,18.6,7,0.38,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Joe Aribo,NGA,"MF,FW",26,1996,13.6,27,1.99,23,0,1,1,1,1,2,0.15,1,0,1,0,0,0
Juan Larios,ESP,DF,18,2004,1.7,1,0.59,1,0,0,0,0,0,1,0.59,1,0,0,0,0,0
Kamaldeen Sulemana,GHA,"FW,MF",20,2002,10.7,40,3.72,24,0,9,4,1,2,3,0.28,2,0,1,0,0,0
Kami Doyle,ENG,MF,16,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Kyle Walker-Peters,ENG,DF,25,1997,29.4,53,1.8,33,4,8,3,4,1,3,0.1,1,1,0,0,0,1
Lyanco,BRA,DF,25,1997,13.1,9,0.69,6,1,1,1,0,0,0,0.0,0,0,0,0,0,0
Mislav Oršić,CRO,MF,29,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Mohamed Elyounoussi,NOR,"MF,FW",27,1994,24.1,41,1.7,34,0,1,2,3,1,4,0.17,4,0,0,0,0,0
Mohammed Salisu,GHA,DF,23,1999,21.9,25,1.14,16,5,1,3,0,0,3,0.14,1,1,0,1,0,0
Moussa Djenepo,MLI,"DF,FW",24,1998,7.9,17,2.15,12,0,2,1,2,0,4,0.51,2,0,2,0,0,0
Nathan Redmond,ENG,DF,28,1994,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Oriol Romeu,ESP,MF,30,1991,0.8,3,3.65,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Paul Onuachu,NGA,FW,28,1994,4.5,7,1.55,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0
Romain Perraud,FRA,DF,24,1997,20.4,38,1.86,23,1,4,8,1,1,5,0.25,3,0,1,0,1,0
Roméo Lavia,BEL,MF,18,2004,24.7,41,1.66,31,2,3,1,3,1,3,0.12,1,0,0,0,1,1
Samuel Amo-Ameyaw,ENG,MF,16,2006,0.0,1,22.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Samuel Edozie,ENG,"FW,MF",19,2003,6.3,20,3.18,13,0,3,0,4,0,0,0.0,0,0,0,0,0,0
Sekou Mara,FRA,"FW,MF",20,2002,6.2,12,1.95,8,0,3,0,0,1,3,0.49,2,0,1,0,0,0
Stuart Armstrong,SCO,"MF,FW",30,1992,15.6,50,3.2,39,1,0,6,4,0,2,0.13,1,0,0,0,1,0
Theo Walcott,ENG,"FW,MF",33,1989,12.5,28,2.23,23,0,0,4,1,0,2,0.16,2,0,0,0,0,0
Valentino Livramento,ENG,"DF,FW",19,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yan Valery,TUN,DF,23,1999,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
