General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Armstrong,ENG,"FW,MF",25,1997,14.8,14,9,6,5,3,3,10,30.0,7,15,3,12,5,19,6,0
Ainsley Maitland-Niles,ENG,"DF,MF",24,1997,15.6,45,24,23,18,4,28,44,63.6,16,28,7,21,22,67,45,1
Alex McCarthy,ENG,GK,32,1989,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,1
Armel Bella Kotchap,GER,DF,20,2001,20.9,37,17,28,9,0,15,20,75.0,5,29,12,17,44,81,110,0
Carlos Alcaraz,ARG,"MF,FW",19,2002,11.4,10,5,2,7,1,6,22,27.3,16,14,5,9,1,11,11,0
Che Adams,SCO,FW,26,1996,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0
Dominic Ballard,ENG,"FW,MF",17,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Duje Ćaleta-Car,CRO,DF,25,1996,10.5,14,10,9,4,1,6,9,66.7,3,15,11,4,15,29,65,1
Gavin Bazunu,IRL,GK,20,2002,32.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,24,2
Ibrahima Diallo,FRA,MF,23,1999,9.1,25,15,14,10,1,8,14,57.1,6,11,1,10,6,31,11,0
Jack Stephens,ENG,DF,28,1994,0.5,2,2,2,0,0,1,1,100.0,0,1,1,0,1,3,2,0
James Bree,ENG,DF,24,1997,4.1,5,3,4,1,0,3,4,75.0,1,3,1,2,6,11,11,0
James Ward-Prowse,ENG,MF,27,1994,37.5,65,37,31,27,7,21,61,34.4,40,30,10,20,55,120,48,0
Jan Bednarek,POL,DF,26,1996,18.6,27,21,20,7,0,12,16,75.0,4,38,27,11,49,76,87,0
Joe Aribo,NGA,"MF,FW",26,1996,13.6,31,20,15,12,4,11,20,55.0,9,14,1,13,10,41,11,0
Juan Larios,ESP,DF,18,2004,1.7,7,6,6,1,0,5,5,100.0,0,2,0,2,3,10,4,0
Kamaldeen Sulemana,GHA,"FW,MF",20,2002,10.7,15,9,4,7,4,4,14,28.6,10,16,0,16,6,21,6,0
Kami Doyle,ENG,MF,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kyle Walker-Peters,ENG,DF,25,1997,29.4,61,32,34,24,3,22,43,51.2,21,47,8,39,27,88,52,0
Lyanco,BRA,DF,25,1997,13.1,24,16,15,9,0,12,18,66.7,6,30,25,5,20,44,65,2
Mislav Oršić,CRO,MF,29,1992,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
Mohamed Elyounoussi,NOR,"MF,FW",27,1994,24.1,46,28,22,20,4,19,44,43.2,25,40,3,37,27,73,37,0
Mohammed Salisu,GHA,DF,23,1999,21.9,52,29,34,16,2,24,34,70.6,10,56,25,31,30,82,122,1
Moussa Djenepo,MLI,"DF,FW",24,1998,7.9,19,11,13,5,1,11,27,40.7,16,19,2,17,11,30,7,0
Nathan Redmond,ENG,DF,28,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Oriol Romeu,ESP,MF,30,1991,0.8,1,0,0,1,0,0,0,,0,1,0,1,1,2,1,0
Paul Onuachu,NGA,FW,28,1994,4.5,3,2,1,1,1,1,3,33.3,2,4,1,3,0,3,4,0
Romain Perraud,FRA,DF,24,1997,20.4,54,33,23,23,8,28,52,53.8,24,24,6,18,20,74,42,0
Roméo Lavia,BEL,MF,18,2004,24.7,60,35,27,29,4,21,53,39.6,32,47,11,36,33,93,23,1
Samuel Amo-Ameyaw,ENG,MF,16,2006,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Samuel Edozie,ENG,"FW,MF",19,2003,6.3,17,10,6,10,1,3,8,37.5,5,7,0,7,6,23,6,0
Sekou Mara,FRA,"FW,MF",20,2002,6.2,14,10,5,8,1,3,9,33.3,6,11,0,11,1,15,5,0
Stuart Armstrong,SCO,"MF,FW",30,1992,15.6,32,21,15,13,4,14,39,35.9,25,18,0,18,10,42,9,2
Theo Walcott,ENG,"FW,MF",33,1989,12.5,13,6,8,4,1,8,27,29.6,19,8,1,7,9,22,7,0
Valentino Livramento,ENG,"DF,FW",19,2002,0.3,2,1,2,0,0,0,0,,0,0,0,0,2,4,3,0
Yan Valery,TUN,DF,23,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
